Data,Preços - IPA-10 - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas- Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_IPA1012,
2019.06,835.679,
2019.07,841.719,
2019.08,834.693,
2019.09,829.963,
2019.10,839.591,
2019.11,841.697,
2019.12,860.737,
2020.01,872.596,
2020.02,870.953,
2020.03,879.007,
2020.04,892.388,
2020.05,894.616,
2020.06,915.681,
2020.07,938.948,
2020.08,970.705,
2020.09,1028.88,
2020.10,1070.69,
2020.11,1119.783,
2020.12,1145.173,
2021.01,1163.516,
2021.02,1208.903,
