Data,PIB - IGP-DI- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
2003.03,524151.664965059,0.264599941715811,
2003.04,535040.185237024,0.26425697340353,
2003.05,531926.324127841,0.262453264047236,
2003.06,528152.615263404,0.261275616198888,
2003.07,557511.109512961,0.261825455151054,
2003.08,548536.812364729,0.264010357619732,
2003.09,558559.691242001,0.265969425165045,
2003.10,579838.167351446,0.267188172016448,
2003.11,571950.869425133,0.268632164427738,
2003.12,568550.825822707,0.270514777245193,
2004.01,529399.142115769,0.273061643852056,
2004.02,517962.026322053,0.275814234905269,
2004.03,564670.198022566,0.278682141453676,
2004.04,555949.328870725,0.282316916037678,
2004.05,557303.706475074,0.286197450594443,
2004.06,570806.948583487,0.289663958033995,
2004.07,584471.371944014,0.293206661996125,
2004.08,571868.883456294,0.295835120416951,
2004.09,553926.777334321,0.297336230598208,
2004.10,569689.254013069,0.299350038286114,
2004.11,587080.718977425,0.301358048869602,
2004.12,589690.098559454,0.30263760649189,
2005.01,538402.861693661,0.303750428602013,
2005.02,525405.541516216,0.305862019529233,
2005.03,569439.164569795,0.308143013191874,
2005.04,574272.311231521,0.308527847390102,
2005.05,577333.024480334,0.307442485487068,
2005.06,590863.424845803,0.306131319682217,
2005.07,604888.213198427,0.30431027747538,
2005.08,618155.004837289,0.302912050431893,
2005.09,597817.229728194,0.303669568176446,
2005.10,620000.560573095,0.305133595081155,
2005.11,637129.568172423,0.305737654836455,
2005.12,646643.463468268,0.306938848396385,
2006.01,602570.386221632,0.30795539283563,
2006.02,581047.796147768,0.307173009145378,
2006.03,620598.17373095,0.306516048631603,
2006.04,602458.973591963,0.307125643588336,
2006.05,640942.880980896,0.308723765988592,
2006.06,642140.284114679,0.310013099823602,
2006.07,665702.789916411,0.310911119999946,
2006.08,672667.821298126,0.311919187088643,
2006.09,641225.797492951,0.313548520327912,
2006.10,678706.38447199,0.315706032685542,
2006.11,693090.086520519,0.317021126507622,
2006.12,695846.30948511,0.31811521737292,
2007.01,661511.553481207,0.319164040127378,
2007.02,633680.531530661,0.319883742538794,
2007.03,679009.306838086,0.320450541411924,
2007.04,670351.895502398,0.320919208916044,
2007.05,704432.431761479,0.32158925368261,
2007.06,709802.074256044,0.322609088230697,
2007.07,718458.702653946,0.325452387362373,
2007.08,713006.80615602,0.329616909643599,
2007.09,670142.106002522,0.332769270879333,
2007.10,720580.644270181,0.335756173752129,
2007.11,711597.267002457,0.339993436201835,
2007.12,704464.888577396,0.344176415221526,
2008.01,684648.576896598,0.346524783671363,
2008.02,667858.832509728,0.348397578460731,
2008.03,688707.871820216,0.351563282353778,
2008.04,697255.978219764,0.356818453726594,
2008.05,701265.048609767,0.363538580035328,
2008.06,720276.548863173,0.369012708270877,
2008.07,750867.789689706,0.370365600733682,
2008.08,727017.026601235,0.370329153443162,
2008.09,711140.414357024,0.373022253614772,
2008.10,747702.373163851,0.375179362896748,
2008.11,722875.562837937,0.374474963487856,
2008.12,707584.231357009,0.373672544246673,
2009.01,669230.408186225,0.373465396883836,
2009.02,656573.439975409,0.371663678642163,
2009.03,708245.794673326,0.370184619480769,
2009.04,700404.638051612,0.370590778384984,
2009.05,724554.234794035,0.370329765688658,
2009.06,748062.201286056,0.368553844220466,
2009.07,776644.64686974,0.367535141265031,
2009.08,772063.86965564,0.368156588038213,
2009.09,768334.86469029,0.368534493243566,
2009.10,819057.283564021,0.368589482149941,
2009.11,827785.719303578,0.368511793434465,
2009.12,847000.898079229,0.370156396186811,
2010.01,772557.543843151,0.37404695909444,
2010.02,757335.761297965,0.377274142594708,
2010.03,820518.562482461,0.379822729490854,
2010.04,799355.339547174,0.384163944127726,
2010.05,814767.294353887,0.387826563719129,
2010.06,825443.671572493,0.388909880898889,
2010.07,849249.595128059,0.391468187806282,
2010.08,844502.290173102,0.395766363086466,
2010.09,828200.970109371,0.399970432244549,
2010.10,851369.837840742,0.405186776260365,
2010.11,871829.634199492,0.409148170705996,
2010.12,863749.511726084,0.411921969471205,
2011.01,801275.330149208,0.415906477412631,
2011.02,799167.397885683,0.419163745776223,
2011.03,825374.244017013,0.421481046351659,
2011.04,826076.898351506,0.422538507851451,
2011.05,867339.627866224,0.422275413497526,
2011.06,879258.546303029,0.421890923391895,
2011.07,881980.004047292,0.423074557572387,
2011.08,884512.045215348,0.425962882063714,
2011.09,844338.109951993,0.428412025628651,
2011.10,879846.386292335,0.430178501493832,
2011.11,904375.622844562,0.430751106243556,
2011.12,908467.332914786,0.431050281955192,
2012.01,850337.439289711,0.431846679956531,
2012.02,847593.408575826,0.433199805808957,
2012.03,900119.557603438,0.436604778421158,
2012.04,866110.028006696,0.440816163829301,
2012.05,900836.649238329,0.444343933318481,
2012.06,887542.434589139,0.449234295129306,
2012.07,910164.085377332,0.455541376177362,
2012.08,911870.679554443,0.46048887130045,
2012.09,852186.601806387,0.461782312894667,
2012.10,915603.385690987,0.461632303468404,
2012.11,913928.248506956,0.463730496012537,
2012.12,908204.065497672,0.46597005681548,
2013.01,886509.819559689,0.46714857620606,
2013.02,851215.989787531,0.468324614178717,
2013.03,911505.730831493,0.468905225214666,
2013.04,934684.455677752,0.469524016724745,
2013.05,930064.587636143,0.472068505603361,
2013.06,933909.142026973,0.474197092705202,
2013.07,963909.946992724,0.475624202686499,
2013.08,943563.563457814,0.479948799994381,
2013.09,905218.511720638,0.48470805039768,
2013.10,957421.855432142,0.486897178453892,
2013.11,951857.362950554,0.489247463040522,
2013.12,962664.204485911,0.491918675061664,
2014.01,921103.753693294,0.494987669056678,
2014.02,899368.167118446,0.500750211610156,
2014.03,914101.720546301,0.505589027579771,
2014.04,927198.217848908,0.505574202987077,
2014.05,941380.481990934,0.502822300924398,
2014.06,917316.793596166,0.499845313201422,
2014.07,966646.121970342,0.498625080104328,
2014.08,956347.444710857,0.498828017618882,
2014.09,952369.698003193,0.500352542714355,
2014.10,977446.143580606,0.504687345936947,
2014.11,962549.446779237,0.508529095973045,
2014.12,977820.947000574,0.511205759636592,
2015.01,919560.758569164,0.514282384924574,
2015.02,887008.733777344,0.518773584156735,
2015.03,957005.119591959,0.524294164919341,
2015.04,922056.043232961,0.527749482877208,
2015.05,910719.249119121,0.530613249327283,
2015.06,911377.258886374,0.533969325276606,
2015.07,936039.926617171,0.536595914038851,
2015.08,909546.582413012,0.54148485577659,
2015.09,901665.470482077,0.550098363792073,
2015.10,929436.768086593,0.558218609177792,
2015.11,912996.273841239,0.562784115030625,
2015.12,918334.362435706,0.56833188580215,
2016.01,852779.110673272,0.574924964581882,
2016.02,848864.491721588,0.578433548332521,
2016.03,890226.370011413,0.580735324649361,
2016.04,868364.201298903,0.58507559298281,
2016.05,865303.267296383,0.593164869934781,
2016.06,898848.927747154,0.596829215054597,
2016.07,892768.686713513,0.596960677420154,
2016.08,893726.550125837,0.598350580414899,
2016.09,851604.183153558,0.598840412116721,
2016.10,876153.676428995,0.599395647280104,
2016.11,899488.803276033,0.602042735860289,
2016.12,933870.745510531,0.605844548316692,
2017.01,866996.486689027,0.607343522245284,
2017.02,847843.432399271,0.606386132572986,
2017.03,904974.594313116,0.601467602980765,
2017.04,880997.881689548,0.596185428950994,
2017.05,927500.77045836,0.591792176871989,
2017.06,946801.739482906,0.588072007877899,
2017.07,948213.743748316,0.587903522465675,
2017.08,940984.164487587,0.590423007067861,
2017.09,892555.716858999,0.592535782372394,
2017.10,922895.311816879,0.595197194055086,
2017.11,944012.550237708,0.599790013233855,
2017.12,975405.134794338,0.603741746883634,
2018.01,916988.968767535,0.605944693911428,
2018.02,869747.95497302,0.608113531024522,
2018.03,914278.462356974,0.612636874936363,
2018.04,901474.310385752,0.620494442887278,
2018.05,868045.284333785,0.630170464458924,
2018.06,912733.571799055,0.636218298462944,
2018.07,911331.210796979,0.63978364077985,
2018.08,899787.641285759,0.647660262556246,
2018.09,850968.685840245,0.654285650300093,
2018.10,908794.812566189,0.651394453197195,
2018.11,919100.544977401,0.646204491168704,
2018.12,935170.34249554,0.644968272187135,
2019.01,891003.614566701,0.649214650247299,
2019.02,864826.386082267,0.656761298152587,
2019.03,873232.62901832,0.663251212510348,
2019.04,888169.258029567,0.667570955242702,
2019.05,901039.310199404,0.671011123661406,
2019.06,888850.203428555,0.673097668979821,
2019.07,933994.238071664,0.671363563542549,
2019.08,917798.123555545,0.671343277117422,
2019.09,910073.840912214,0.674876996117554,
2019.10,943703.45476504,0.679599186335159,
2019.11,922177.969217455,0.688398791980146,
2019.12,930404.764510169,0.694690230160505,
2020.01,888774.562383569,0.695054996109799,
2020.02,870177.337547406,0.700789107791236,
2020.03,872126.693326112,0.706703859331978,
2020.04,781516.284512807,0.710653649842019,
2020.05,779880.690009051,0.72014656497455,
2020.06,805547.658390407,0.734329364425156,
2020.07,831707.816624315,0.757117929413952,
2020.08,797091.09912551,0.784272087200369,
2020.09,782686.739611656,0.811645154886868,
2020.10,789659.715658042,0.837258108638667,
2020.11,781252.282888824,0.851423688056804,
2020.12,790134.409985941,0.866990085917393,
2021.01,734213.296902819,0.891325998535573,
2021.02,741760.657891773,0.913053547386733,
2021.03,786914.209310399,0.933092821698393,
2021.04,745781.605201233,0.959279895093365,
2021.05,728654.177439937,0.975983288119721,
2021.06,725969.724657598,0.983560712999118,
2021.07,751364.866025694,0.989966304831938,
2021.08,748988.689518775,0.986586326790556,
2021.09,738535.817919843,0.991714527892393,
2021.10,746541.632602349,0.996692706080246,
2021.11,749729.4,1,
2021.12,,,
