Data,PIB - IGP-DI- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1958.06,,5.33854462234348E-16,
1958.07,,5.43921708832708E-16,
1958.08,,5.57320772455828E-16,
1958.09,,5.7542248855111E-16,
1958.10,,5.97549291231126E-16,
1958.11,,6.13107771001053E-16,
1958.12,,6.2910457334428E-16,
1959.01,,6.64433444999825E-16,
1959.02,,6.9300950900582E-16,
1959.03,,7.05750951192813E-16,
1959.04,,7.17194492415189E-16,
1959.05,,7.25253111208025E-16,
1959.06,,7.37307982770294E-16,
1959.07,,7.62670784365787E-16,
1959.08,,7.90339616643768E-16,
1959.09,,8.098239288059E-16,
1959.10,,8.33923121727272E-16,
1959.11,,8.54183293536258E-16,
1959.12,,8.66261921014444E-16,
1960.01,,8.83682690871667E-16,
1960.02,,9.01183049575137E-16,
1960.03,,9.15280658510371E-16,
1960.04,,9.23368715760137E-16,
1960.05,,9.2672231513997E-16,
1960.06,,9.38766888285734E-16,
1960.07,,9.62215011973637E-16,
1960.08,,9.95704555323378E-16,
1960.09,,1.04057513555785E-15,
1960.10,,1.08240391635871E-15,
1960.11,,1.10999829566593E-15,
1960.12,,1.13216671802479E-15,
1961.01,,1.1449755305043E-15,
1961.02,,1.15901662456513E-15,
1961.03,,1.19969602182324E-15,
1961.04,,1.23761897268913E-15,
1961.05,,1.2557460965036E-15,
1961.06,,1.27454975010606E-15,
1961.07,,1.31713517056878E-15,
1961.08,,1.37905648314899E-15,
1961.09,,1.4648091329069E-15,
1961.10,,1.56089576457423E-15,
1961.11,,1.62754706593308E-15,
1961.12,,1.70045328923928E-15,
1962.01,,1.75937517848257E-15,
1962.02,,1.78892365160631E-15,
1962.03,,1.81113075825075E-15,
1962.04,,1.85444156632475E-15,
1962.05,,1.92037929835652E-15,
1962.06,,1.99398384573562E-15,
1962.07,,2.06747292338743E-15,
1962.08,,2.11859567408428E-15,
1962.09,,2.17021951840602E-15,
1962.10,,2.28069703041082E-15,
1962.11,,2.43737289933405E-15,
1962.12,,2.6202757169581E-15,
1963.01,,2.81266303301003E-15,
1963.02,,2.97413055928167E-15,
1963.03,,3.07911088459207E-15,
1963.04,,3.16582972014258E-15,
1963.05,,3.31010192049243E-15,
1963.06,,3.45515568832796E-15,
1963.07,,3.58305707510557E-15,
1963.08,,3.74725074222606E-15,
1963.09,,3.96557817242088E-15,
1963.10,,4.17554022973447E-15,
1963.11,,4.39225359029773E-15,
1963.12,,4.76860301303499E-15,
1964.01,,5.19697077136511E-15,
1964.02,,5.56552453335883E-15,
1964.03,,5.89407029503592E-15,
1964.04,,6.1028803460009E-15,
1964.05,,6.31716499537356E-15,
1964.06,,6.65720324257426E-15,
1964.07,,6.96812635777398E-15,
1964.08,,7.20071926241392E-15,
1964.09,,7.49659831842564E-15,
1964.10,,7.9242283289924E-15,
1964.11,,8.43675958949584E-15,
1964.12,,8.89208752780278E-15,
1965.01,,9.24488120522788E-15,
1965.02,,9.66620513070584E-15,
1965.03,,1.00688869930378E-14,
1965.04,,1.02736010706729E-14,
1965.05,,1.04208233749806E-14,
1965.06,,1.06232369954989E-14,
1965.07,,1.08320031553128E-14,
1965.08,,1.10037958963219E-14,
1965.09,,1.12237024278819E-14,
1965.10,,1.13879135895645E-14,
1965.11,,1.15488811076398E-14,
1965.12,,1.20981743274595E-14,
1966.01,,1.2733884621916E-14,
1966.02,,1.3084333742795E-14,
1966.03,,1.35623604680526E-14,
1966.04,,1.40383764671998E-14,
1966.05,,1.43315590964907E-14,
1966.06,,1.47019493585573E-14,
1966.07,,1.51070472953548E-14,
1966.08,,1.54523211085129E-14,
1966.09,,1.57944493227677E-14,
1966.10,,1.60329458583223E-14,
1966.11,,1.6165721021504E-14,
1966.12,,1.65778646122982E-14,
1967.01,,1.71471566749503E-14,
1967.02,,1.75524737352944E-14,
1967.03,,1.79753681241563E-14,
1967.04,,1.83206220112111E-14,
1967.05,,1.85157113645192E-14,
1967.06,,1.88499330610745E-14,
1967.07,,1.91934559001726E-14,
1967.08,,1.94189949978637E-14,
1967.09,,1.97118525960474E-14,
1967.10,,2.00130314460904E-14,
1967.11,,2.0222733272405E-14,
1967.12,,2.06085969143337E-14,
1968.01,,2.11884259293048E-14,
1968.02,,2.16560806033241E-14,
1968.03,,2.21208802975899E-14,
1968.04,,2.25327815334756E-14,
1968.05,,2.30047481031382E-14,
1968.06,,2.34759565106937E-14,
1968.07,,2.37821263022478E-14,
1968.08,,2.41413507160848E-14,
1968.09,,2.46344823516391E-14,
1968.10,,2.50955378543778E-14,
1968.11,,2.53638428313613E-14,
1968.12,,2.56607172212549E-14,
1969.01,,2.60602167895617E-14,
1969.02,,2.63141880685743E-14,
1969.03,,2.65492423868538E-14,
1969.04,,2.68684853741858E-14,
1969.05,,2.73132136379854E-14,
1969.06,,2.79237933351185E-14,
1969.07,,2.84816315169009E-14,
1969.08,,2.9036741249178E-14,
1969.09,,2.95941169490696E-14,
1969.10,,3.00528805023685E-14,
1969.11,,3.03161261342259E-14,
1969.12,,3.05488846446595E-14,
1970.01,,3.0956998016961E-14,
1970.02,,3.14740151671492E-14,
1970.03,,3.18253641330981E-14,
1970.04,,3.21306128917559E-14,
1970.05,,3.27421240643847E-14,
1970.06,,3.3384475258266E-14,
1970.07,,3.40542683583966E-14,
1970.08,,3.4783879572414E-14,
1970.09,,3.5389751895031E-14,
1970.10,,3.57914612761942E-14,
1970.11,,3.60685229733095E-14,
1970.12,,3.64977986693832E-14,
1971.01,,3.70738650225636E-14,
1971.02,,3.77293146339255E-14,
