Data,PIB - IPCA- 2020.12=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1989.12,,7.50811315727705E-07,
1990.01,11.9527284613156,1.28832662222057E-06,
1990.02,12.0634978438793,2.30647868387556E-06,
1990.03,12.3840197504473,3.34794677919388E-06,
1990.04,12.1417728572627,3.73244217033075E-06,
1990.05,12.1831784661244,4.09263305041188E-06,
1990.06,12.0668767335328,4.59739699702125E-06,
1990.07,12.0633275007174,5.19046112297839E-06,
1990.08,12.0408013037077,5.89856590405411E-06,
1990.09,12.0017117403544,6.74707445874374E-06,
1990.10,12.098093957972,7.79816801793205E-06,
1990.11,12.1299425657917,9.17237494287267E-06,
1990.12,12.0082067672244,1.09691902393512E-05,
1991.01,11.9739275215028,1.3243678989274E-05,
1991.02,11.9569850488738,1.53942528228527E-05,
1991.03,11.9171430486823,1.6687471714639E-05,
1991.04,12.0720672161417,1.77226849275723E-05,
1991.05,12.1327250992783,1.93698804241124E-05,
1991.06,12.1512607967422,2.16550078015564E-05,
1991.07,12.135228830022,2.46885119311454E-05,
1991.08,12.1316489386557,2.8547473544274E-05,
1991.09,12.0219763716699,3.36596834383705E-05,
1991.10,12.1095841293342,4.12986350247379E-05,
1991.11,12.0950900879101,5.13992691819073E-05,
1991.12,12.0055607477743,6.41564779561725E-05,
1992.01,12.0026347798214,8.02773896918239E-05,
1992.02,12.0153819982578,9.862193166156E-05,
1992.03,12.0119158833729,0.000119000088978275,
1992.04,11.9957524781397,0.000145620626588133,
1992.05,12.0359831530482,0.000178404345256975,
1992.06,12.0650341938685,0.000215900423067558,
1992.07,12.0727787678792,0.000263366010628258,
1992.08,12.0696516796107,0.000324937575692024,
1992.09,12.0691164105388,0.000405959397370906,
1992.10,12.0839333181106,0.000502810625719175,
1992.11,12.0854465881593,0.000622768028565632,
1992.12,11.9859631969353,0.000795707076735787,
1993.01,11.9921277879677,0.00101561457192347,
1993.02,11.9924740683665,0.0012808408743958,
1993.03,12.1028734952952,0.00163313305201654,
1993.04,12.0809396602149,0.00208583709513,
1993.05,12.0960299981961,0.00268811223204084,
1993.06,12.0727012950948,0.00350515326841981,
1993.07,12.1122053606098,0.00462102753033916,
1993.08,12.1291800974275,0.00620687485775349,
1993.09,12.1476271662518,0.00836699723993865,
1993.10,12.1212336110128,0.0112734835134919,
1993.11,12.111158666655,0.0153543154006891,
1993.12,12.017084971619,0.0213512566355517,
1994.01,11.9302327618901,0.0300605675959031,
1994.02,11.8217718406817,0.0425376263182741,
1994.03,11.8519004302994,0.0607078743748265,
1994.04,11.9009856706649,0.0870269230185846,
1994.05,11.9934078137162,0.126815400218624,
1994.06,12.2459415717175,0.15915929742391,
1994.07,12.4116945097423,0.166035889820194,
1994.08,12.467808527911,0.16884991508642,
1994.09,12.4464380315968,0.172350895094366,
1994.10,12.4510606906032,0.177029923951747,
1994.11,12.4438956628091,0.181027808117629,
1994.12,12.3889086880197,0.184114418060907,
1995.01,12.4372082585411,0.186616969856655,
1995.02,12.4848004662425,0.189014301753194,
1995.03,12.6487400859294,0.192774276429566,
1995.04,12.5856189928204,0.197689706670246,
1995.05,12.5360570274638,0.202561722801501,
1995.06,12.5198688019074,0.207240082739776,
1995.07,12.5389840052869,0.210706465499843,
1995.08,12.565251149452,0.212792643424151,
1995.09,12.5477383877229,0.215345833827387,
1995.10,12.5788731661018,0.218447207654917,
1995.11,12.629944820527,0.221756644569223,
1995.12,12.5979061829726,0.224971575167176,
1996.01,12.5487210528907,0.227637223071056,
1996.02,12.5112754758831,0.22920698294455,
1996.03,12.5158169595449,0.231050119671979,
1996.04,12.5197334916236,0.233915173371491,
1996.05,12.5897398641798,0.236733454391002,
1996.06,12.6012705055631,0.239455975698838,
1996.07,12.6465113225243,0.241310849684596,
1996.08,12.6412811674064,0.242022629624255,
1996.09,12.5973429225903,0.24256754941021,
1996.10,12.6675334971824,0.243320088494532,
1996.11,12.7048137777454,0.244281553177983,
1996.12,12.7116279858023,0.246295934857101,
1997.01,12.6519581266693,0.248364048311113,
1997.02,12.5592810752107,0.249618608398057,
1997.03,12.5437202680851,0.251352960999685,
1997.04,12.5805515083857,0.252973153821428,
1997.05,12.6356183607318,0.254174370309524,
1997.06,12.6706442886192,0.255139657759509,
1997.07,12.6801345831837,0.255394860383108,
1997.08,12.680833161868,0.255446039829031,
1997.09,12.6776169294689,0.255815884796116,
1997.10,12.7383751326663,0.256326959294937,
1997.11,12.7132942734295,0.257095202373415,
1997.12,12.6575056131685,0.258559816883284,
1998.01,12.6285949236006,0.260072188167793,
1998.02,12.5790283141967,0.261112455919867,
1998.03,12.6360321460845,0.261868813098769,
1998.04,12.6404734260217,0.262837193468235,
1998.05,12.6864721161522,0.263519639903523,
1998.06,12.6911298626014,0.263387578445129,
1998.07,12.7102400673351,0.262557856316901,
1998.08,12.7073515894891,0.261599422804727,
1998.09,12.6892095094854,0.26133734583355,
1998.10,12.7195830265178,0.261206182595123,
1998.11,12.7071743590529,0.261479783884803,
1998.12,12.6634808234674,0.26282653294441,
1999.01,12.6289668472131,0.265126252293185,
1999.02,12.6181854242293,0.267976314120889,
1999.03,12.7027667195292,0.270199281743888,
1999.04,12.6864261863521,0.271361225836705,
1999.05,12.7007518515871,0.27202597559839,
1999.06,12.7222799444578,0.27376342264023,
1999.07,12.7084235718658,0.276020506251228,
1999.08,12.7155595889345,0.277221062103387,
1999.09,12.6898149153849,0.279298217239912,
1999.10,12.7356047342567,0.282286909805149,
1999.11,12.7656610799175,0.284473781260845,
1999.12,12.7516083651293,0.286208744013431,
2000.01,12.6830846057023,0.287281439930921,
2000.02,12.6725893219674,0.287784242543278,
2000.03,12.6781765335409,0.288705194686512,
2000.04,12.662943282327,0.289325492599881,
2000.05,12.739116833992,0.289672851879532,
2000.06,12.7692908226931,0.292331864876476,
2000.07,12.7618322924421,0.296599814063172,
2000.08,12.7711243531327,0.298878894507525,
2000.09,12.7218669227301,0.299431327270383,
2000.10,12.7837004441897,0.300119831858581,
2000.11,12.7859360295302,0.301484866418338,
2000.12,12.7630456234892,0.303233473279079,
2001.01,12.7260313431928,0.304795628250737,
2001.02,12.713069272704,0.306075621653,
2001.03,12.7718322487353,0.307544118065717,
2001.04,12.760115856787,0.30906607592813,
2001.05,12.7886656239699,0.310503477127117,
2001.06,12.7215938059841,0.313373284196331,
2001.07,12.7653789482678,0.316551952985515,
2001.08,12.7810992343784,0.318101827827318,
2001.09,12.7362078742111,0.319865897471872,
2001.10,12.7947252307593,0.322329101133719,
2001.11,12.8028426217766,0.324521587813033,
2001.12,12.7548591156211,0.326420699200242,
2002.01,12.7447719041405,0.3278572718425,
2002.02,12.7319639362634,0.329430633186077,
2002.03,12.785615470776,0.331736597226293,
2002.04,12.7968389783535,0.333410344120962,
2002.05,12.8196605410993,0.33445962970771,
2002.06,12.8106127759949,0.337149551479591,
2002.07,12.828886673279,0.340250189792214,
2002.08,12.8294719579671,0.342580245747489,
2002.09,12.7983254398764,0.346056012638325,
2002.10,12.8388153214122,0.353536515738485,
2002.11,12.8346652966496,0.362583404298516,
2002.12,12.7701274704584,0.370469530866367,
2003.01,12.7274064582605,0.377544275600695,
2003.02,12.7459644720637,0.382830088858426,
2003.03,12.7892246045733,0.387041059853842,
2003.04,12.8006209619025,0.39009807722301,
2003.05,12.7856450549403,0.390992445867646,
2003.06,12.7737803605668,0.391089351885266,
2003.07,12.8272838526408,0.392145104913255,
2003.08,12.8137838802663,0.394340254443163,
2003.09,12.833951291412,0.396448774027864,
2003.10,12.8727650199988,0.397697822139383,
2003.11,12.8601682888334,0.399407864100547,
2003.12,12.854812389671,0.401963113945315,
2004.01,12.7860104545926,0.404715788936633,
2004.02,12.7688157804494,0.406900631513626,
2004.03,12.8613098504297,0.40860916948625,
2004.04,12.8543146501656,0.410406462044835,
2004.05,12.8643203358732,0.412909007449175,
2004.06,12.8922355182211,0.416252607439619,
2004.07,12.9200824571149,0.419581721690854,
2004.08,12.9021232907667,0.42172101862074,
2004.09,12.8714635284123,0.423345167760637,
2004.10,12.9006380986274,0.42573701050305,
2004.11,12.9296759059491,0.429035979361888,
2004.12,12.931176255039,0.432123850314343,
2005.01,12.8380234742469,0.434651823098536,
2005.02,12.814532579788,0.437259660451117,
2005.03,12.8950740247737,0.440494171006048,
2005.04,12.8979993756268,0.443488425500869,
2005.05,12.8974477140257,0.44452880727954,
2005.06,12.9151913838708,0.445039460431873,
2005.07,12.9305849347606,0.445974530592581,
2005.08,12.9450780102999,0.447134306902802,
2005.09,12.9086387928797,0.449592546734404,
2005.10,12.9434055884204,0.452514483388565,
2005.11,12.9680973834492,0.45457291565712,
2005.12,12.982103173307,0.456731515145548,
2006.01,12.9098309290264,0.459015407084799,
2006.02,12.8667240671472,0.460943449915629,
2006.03,12.9272400064989,0.462417978158369,
2006.04,12.8980135555459,0.463134829086654,
2006.05,12.9656756023015,0.462879581113708,
2006.06,12.9718124189911,0.462832031336916,
2006.07,13.009542621151,0.46338722837838,
2006.08,13.0218889337357,0.463989588086951,
2006.09,12.9765333256076,0.465242011171145,
2006.10,13.037004088216,0.466730174385307,
2006.11,13.0581915311576,0.468573114500591,
2006.12,13.0610158662105,0.470728674293798,
2007.01,13.0093144037566,0.472800501689832,
2007.02,12.9645421536653,0.474715503447904,
2007.03,13.0323074907397,0.47618696935722,
2007.04,13.018290854722,0.477448653292337,
2007.05,13.0671712347071,0.478784970424668,
2007.06,13.0753345753988,0.480029808598794,
2007.07,13.0926870648798,0.481734251402305,
2007.08,13.0945401655926,0.483299807142914,
2007.09,13.0396600698202,0.484459757077836,
2007.10,13.1177701542001,0.486106475521052,
2007.11,13.1121833193724,0.488827852145532,
2007.12,13.1079579379667,0.491956448464906,
2008.01,13.0810879858807,0.494490191219353,
2008.02,13.0568097929292,0.496888971211766,
2008.03,13.0914587151124,0.499447998977034,
2008.04,13.1119545257976,0.502793964621606,
2008.05,13.1287243127383,0.506640819022111,
2008.06,13.1640902231508,0.509857549983323,
2008.07,13.2053038512584,0.51192168081149,
2008.08,13.1702293851401,0.513303868227984,
2008.09,13.1518515885272,0.51512607078003,
2008.10,13.2037102230341,0.51721273552512,
2008.11,13.1648674318296,0.518868194179337,
2008.12,13.1375501614256,0.520839357180969,
2009.01,13.0761311433007,0.523521394721206,
2009.02,13.0484602544641,0.525483574846003,
2009.03,13.1168365850768,0.52726947084372,
2009.04,13.1020610055575,0.52977422563923,
2009.05,13.1311141843123,0.53197238451544,
2009.06,13.1552420428173,0.533567820153586,
2009.07,13.1880233333761,0.53460801066271,
2009.08,13.1818491562413,0.53565042744227,
2009.09,13.1754367424082,0.537043183852352,
2009.10,13.236069871835,0.538896183068089,
2009.11,13.2425670020181,0.540997858135711,
2009.12,13.264385698834,0.544025947773527,
2010.01,13.1752262271164,0.548187234223564,
2010.02,13.1574400409873,0.551749438230582,
2010.03,13.2388668775718,0.554756665797263,
2010.04,13.2191124286405,0.557530843741026,
2010.05,13.2455526685657,0.558728347473103,
2010.06,13.2613107342854,0.558756186744906,
2010.07,13.2960503710583,0.558895376171069,
2010.08,13.2989211247659,0.56026262514226,
