data,IPCA,Alimbebs,Comerc,N comerc,Monit,Servicos
1998-12-01,0.01655644167020709,0.019485740623157888,0.01192067015508047,0.014795125420065336,0.03232774218308876,0.015575092154626047
1999-01-01,0.016455502692779955,0.016061944180922882,0.010210495048943224,0.01489583950555784,0.035705376080772844,0.01648546823325092
1999-02-01,0.02242512987363532,0.037166788777803106,0.029666699573885458,0.007229396428088286,0.045789740398300305,0.007586669864316331
1999-03-01,0.030169230917127088,0.04972104497691965,0.04404034978231519,0.007028892915313056,0.0593700686623877,0.008592646970810414
1999-04-01,0.03345787969898506,0.03847960988941246,0.0510277340032137,0.003916440703909618,0.07097786899637137,0.009298450082755982
1999-05-01,0.03140124710256975,0.014612402441766648,0.05238930456046731,-0.0036572787216907487,0.07610830190174345,0.005885945378816704
1999-06-01,0.03315427861634146,0.0003249412668651086,0.04850633644431901,-0.0029585811611871904,0.094307271482589,0.009815974618425427
1999-07-01,0.04567046481103243,0.00790239511950741,0.05238658593906176,-0.0007573858561743529,0.15510211989828893,0.00760014064260206
1999-08-01,0.05691649353098227,0.02147031197688598,0.06127284179138193,0.004760520145624003,0.18246593019829827,0.008607740783244555
1999-09-01,0.06253050176481123,0.02978329251241596,0.06616056212802635,0.009499480953134798,0.19027879949383286,0.009011749491749654
1999-10-01,0.07495962281125035,0.04822010081004735,0.09076426740790389,0.01050877857456367,0.2010074015924248,0.010122773440139232
1999-11-01,0.08647550983976493,0.06728056275967775,0.1034310663887148,0.014152440035770653,0.22371325323801505,0.011031883936235332
1999-12-01,0.08939934506010494,0.08124797072386603,0.11269710753403617,0.016281734300992,0.208942229670962,0.013457390255154023
2000-01-01,0.08853388381278804,0.0806050086005412,0.11325112919681946,0.01708854722888864,0.2011765171570168,0.0154744215821625
2000-02-01,0.07862343182755538,0.049463047492006584,0.09101662456042336,0.02238535288295962,0.18013849491417977,0.02301608228038421
2000-03-01,0.06923482035368611,0.02405207084946892,0.06934435018130958,0.019331937194907445,0.17792740809795182,0.0192407386693354
2000-04-01,0.06774622772391692,0.02271773418303158,0.06159855363802347,0.030749596657435818,0.16121427904424168,0.03319038714063405
2000-05-01,0.06465902527087675,0.02560880904998042,0.056104612078591076,0.029821736448402802,0.15637011935812084,0.03020071230256982
2000-06-01,0.06508408127457854,0.040049613796530936,0.06329259262321596,0.0294093541332765,0.1400976408038792,0.028041824471180643
2000-07-01,0.07056280045810559,0.06110915890347757,0.07410034991744285,0.030852403192840994,0.12286097610307412,0.02804182447118042
2000-08-01,0.07854730821808564,0.08166795015757455,0.08234454119970391,0.035175498643075453,0.13480277673518937,0.029479645204706362
2000-09-01,0.07768713690258933,0.08371615536516797,0.08137373186436436,0.03807051601842537,0.12825692282662216,0.03184981856203506
2000-10-01,0.06650449539900483,0.06657178069544312,0.05603150985016159,0.04118099499171324,0.11952203052086818,0.03277839054154286
2000-11-01,0.059848746690720045,0.05162819975230004,0.04464037332629567,0.040869264154888896,0.11083930517125573,0.03267520556896386
2000-12-01,0.05974339393259931,0.03202877861501752,0.03635533021475568,0.037234581500452,0.1290461677274548,0.0312334970649788
2001-01-01,0.05921678719739165,0.029879571519527914,0.0343954664470556,0.035794692145865836,0.13241511392119154,0.029287580246602163
2001-02-01,0.06270766445470799,0.0329769536895117,0.0343954664470556,0.04002579530198602,0.1406941628261733,0.03287644907591414
2001-03-01,0.06440426419839973,0.04989228857512429,0.04207533646983941,0.04501044214916439,0.12717081768300553,0.034634272645269304
2001-04-01,0.06610018814056007,0.0726518965972267,0.047803886545385144,0.04449367306492458,0.12593154941768692,0.025967286031013836
2001-05-01,0.070364162495687,0.08615048585270402,0.052940180106882284,0.049408199307196865,0.12772836816800504,0.030587372878946972
2001-06-01,0.07346109562073644,0.08604199014939162,0.04959053443997474,0.05151016865984004,0.14258615283695097,0.03367913499758379
2001-07-01,0.07050302941884956,0.0741977515065757,0.042963939371990945,0.05582092927528315,0.13348755831661507,0.04122197554684637
2001-08-01,0.06405739870178762,0.06114783270704449,0.03821803560197279,0.05592591296120131,0.11504339752163517,0.044545908429678205
2001-09-01,0.06458820654310315,0.05967005794748048,0.0386322871872502,0.053086271561803455,0.12039721197407482,0.0452761412628957
2001-10-01,0.071923595623538,0.07014403316081852,0.049225277217557206,0.05224732611542904,0.1336218664717186,0.047782297845343935
2001-11-01,0.07609076271178772,0.08492236565118128,0.06276569946256183,0.052667510732027356,0.12778943973217838,0.0477822978453446
2001-12-01,0.07673263015152032,0.09625997879705395,0.07296111338765487,0.05719941931847883,0.10783929424825311,0.04861935180807242
2002-01-01,0.07619731513205497,0.09865665171104943,0.07606401249896688,0.05593972385310075,0.1025659616298562,0.045384804553739055
2002-02-01,0.07512604565651104,0.10030381310791747,0.07875148505765606,0.05793048141940438,0.09204236525717113,0.05047006767526496
2002-03-01,0.07748236892852156,0.091820695837737,0.07767713839392032,0.056038128377016605,0.10503507086261044,0.05141492382248458
2002-04-01,0.07983916074761366,0.06908336896960354,0.07242801515522213,0.050290839928497366,0.12958157733964648,0.05016100024010828
2002-05-01,0.07768830095128298,0.05664722319813298,0.06837104506304703,0.049662925914989,0.12823174872701193,0.05078871153732312
2002-06-01,0.0766161876395528,0.05643610487182027,0.06773174853663089,0.04987275358633614,0.124119387905133,0.0492172428760016
2002-07-01,0.07512870845007735,0.0604238442167222,0.06645975598402054,0.053113746950325336,0.11498727682350474,0.04838428287371821
2002-08-01,0.07459488088878108,0.07209765624767117,0.07313638965459535,0.050810256949042065,0.10604175687276185,0.04671620923350517
