Mês,ipca
março 2004,2270.7500000000000
abril 2004,2279.1500000000000
maio 2004,2290.7700000000000
junho 2004,2307.0300000000000
julho 2004,2328.0200000000000
agosto 2004,2344.0800000000000
setembro 2004,2351.8200000000000
outubro 2004,2362.1700000000000
novembro 2004,2378.4700000000000
dezembro 2004,2398.9200000000000
janeiro 2005,2412.8300000000000
fevereiro 2005,2427.0700000000000
março 2005,2441.8700000000000
abril 2005,2463.1100000000000
maio 2005,2475.1800000000000
junho 2005,2474.6800000000000
julho 2005,2480.8700000000000
agosto 2005,2485.0900000000000
setembro 2005,2493.7900000000000
outubro 2005,2512.4900000000000
novembro 2005,2526.3100000000000
dezembro 2005,2535.4000000000000
janeiro 2006,2550.3600000000000
fevereiro 2006,2560.8200000000000
março 2006,2571.8300000000000
abril 2006,2577.2300000000000
maio 2006,2579.8100000000000
junho 2006,2574.3900000000000
julho 2006,2579.2800000000000
agosto 2006,2580.5700000000000
setembro 2006,2585.9900000000000
outubro 2006,2594.5200000000000
novembro 2006,2602.5600000000000
dezembro 2006,2615.0500000000000
janeiro 2007,2626.5600000000000
fevereiro 2007,2638.1200000000000
março 2007,2647.8800000000000
abril 2007,2654.5000000000000
maio 2007,2661.9300000000000
junho 2007,2669.3800000000000
julho 2007,2675.7900000000000
agosto 2007,2688.3700000000000
setembro 2007,2693.2100000000000
outubro 2007,2701.2900000000000
novembro 2007,2711.5500000000000
dezembro 2007,2731.6200000000000
janeiro 2008,2746.3700000000000
fevereiro 2008,2759.8300000000000
março 2008,2773.0800000000000
abril 2008,2788.3300000000000
maio 2008,2810.3600000000000
junho 2008,2831.1600000000000
julho 2008,2846.1600000000000
agosto 2008,2854.1300000000000
setembro 2008,2861.5500000000000
outubro 2008,2874.4300000000000
novembro 2008,2884.7800000000000
dezembro 2008,2892.8600000000000
janeiro 2009,2906.7400000000000
fevereiro 2009,2922.7300000000000
março 2009,2928.5700000000000
abril 2009,2942.6300000000000
maio 2009,2956.4600000000000
junho 2009,2967.1000000000000
julho 2009,2974.2200000000000
agosto 2009,2978.6800000000000
setembro 2009,2985.8300000000000
outubro 2009,2994.1900000000000
novembro 2009,3006.4700000000000
dezembro 2009,3017.5900000000000
janeiro 2010,3040.2200000000000
fevereiro 2010,3063.9300000000000
março 2010,3079.8600000000000
abril 2010,3097.4200000000000
maio 2010,3110.7400000000000
junho 2010,3110.7400000000000
julho 2010,3111.0500000000000
agosto 2010,3112.2900000000000
setembro 2010,3126.2900000000000
outubro 2010,3149.7400000000000
novembro 2010,3175.8800000000000
dezembro 2010,3195.8900000000000
janeiro 2011,3222.4200000000000
fevereiro 2011,3248.2000000000000
março 2011,3273.8600000000000
abril 2011,3299.0700000000000
maio 2011,3314.5800000000000
junho 2011,3319.5500000000000
julho 2011,3324.8600000000000
agosto 2011,3337.1600000000000
setembro 2011,3354.8500000000000
outubro 2011,3369.2800000000000
novembro 2011,3386.8000000000000
dezembro 2011,3403.7300000000000
janeiro 2012,3422.7900000000000
fevereiro 2012,3438.1900000000000
março 2012,3445.4100000000000
abril 2012,3467.4600000000000
maio 2012,3479.9400000000000
junho 2012,3482.7200000000000
julho 2012,3497.7000000000000
agosto 2012,3512.0400000000000
setembro 2012,3532.0600000000000
outubro 2012,3552.9000000000000
novembro 2012,3574.2200000000000
dezembro 2012,3602.4600000000000
janeiro 2013,3633.4400000000000
fevereiro 2013,3655.2400000000000
março 2013,3672.4200000000000
abril 2013,3692.6200000000000
maio 2013,3706.2800000000000
junho 2013,3715.9200000000000
julho 2013,3717.0300000000000
agosto 2013,3725.9500000000000
setembro 2013,3738.9900000000000
outubro 2013,3760.3000000000000
novembro 2013,3780.6100000000000
dezembro 2013,3815.3900000000000
janeiro 2014,3836.3700000000000
fevereiro 2014,3862.8400000000000
março 2014,3898.3800000000000
abril 2014,3924.5000000000000
maio 2014,3942.5500000000000
junho 2014,3958.3200000000000
julho 2014,3958.7200000000000
agosto 2014,3968.6200000000000
setembro 2014,3991.2400000000000
outubro 2014,4008.0000000000000
novembro 2014,4028.4400000000000
dezembro 2014,4059.8600000000000
janeiro 2015,4110.2000000000000
fevereiro 2015,4160.3400000000000
março 2015,4215.2600000000000
abril 2015,4245.1900000000000
maio 2015,4276.6000000000000
junho 2015,4310.3900000000000
julho 2015,4337.1100000000000
