Data,Utilização da capacidade instalada - indústria - dessaz. - (%) - Confederação Nacional da Indústria - CNI12_NUCAPD12,
2010.09,83.4,
2010.10,83.4,
2010.11,83.8,
2010.12,83.6,
2011.01,83.4,
2011.02,83.7,
2011.03,83.5,
2011.04,83.2,
2011.05,83.5,
2011.06,83.5,
2011.07,83.2,
2011.08,83.6,
2011.09,83,
2011.10,82.7,
2011.11,82.7,
2011.12,82.2,
2012.01,80.8,
2012.02,82.5,
2012.03,82.4,
2012.04,81.8,
2012.05,82.3,
2012.06,82,
2012.07,82.2,
2012.08,82.3,
2012.09,82.3,
2012.10,82.4,
2012.11,82.5,
2012.12,82.7,
2013.01,83.5,
2013.02,82.7,
2013.03,82.4,
2013.04,83.2,
2013.05,82.5,
2013.06,82.4,
2013.07,82.5,
2013.08,82.3,
2013.09,82.1,
2013.10,82.5,
2013.11,82.2,
2013.12,81.8,
2014.01,82.3,
2014.02,82.7,
2014.03,81,
2014.04,81.2,
2014.05,80.9,
2014.06,80.2,
2014.07,81.4,
2014.08,80.9,
2014.09,81.4,
2014.10,81.1,
2014.11,81,
2014.12,80.7,
2015.01,81.2,
2015.02,80.1,
2015.03,80.7,
2015.04,80.5,
2015.05,79.3,
2015.06,79.1,
2015.07,78.6,
2015.08,77.4,
2015.09,77.5,
2015.10,77.8,
2015.11,77.4,
2015.12,77.7,
2016.01,77.5,
2016.02,77.9,
2016.03,77.5,
2016.04,77.43,
2016.05,76.84,
2016.06,77.5,
2016.07,76.46,
2016.08,76.8,
2016.09,76.81,
2016.10,76.22,
2016.11,76.27,
2016.12,76.99,
2017.01,77.3,
2017.02,76.45,
2017.03,76.94,
2017.04,76.33,
2017.05,77.3,
2017.06,77.31,
2017.07,77.47,
2017.08,77.66,
2017.09,77.63,
2017.10,77.84,
2017.11,78.08,
2017.12,77.83,
2018.01,77.99,
2018.02,77.83,
2018.03,78.23,
2018.04,78.11,
2018.05,75.87,
2018.06,77.63,
2018.07,77.87,
2018.08,78.34,
2018.09,77.5,
2018.10,77.6,
2018.11,77.4,
2018.12,77.4,
2019.01,77.6,
2019.02,77.5,
2019.03,77.2,
2019.04,77.8,
2019.05,78,
