DATE,POILAPSPUSDM
2016-06-01,47.6871212121212
2016-07-01,44.224126984127
2016-08-01,44.8430434782609
2016-09-01,45.0577272727273
2016-10-01,49.2936507936508
2016-11-01,45.2780303030303
2016-12-01,52.6142424242424
2017-01-01,53.6289393939394
2017-02-01,54.3553333333333
2017-03-01,50.9057971014493
2017-04-01,52.2263333333333
2017-05-01,49.9115942028986
2017-06-01,46.1330303030303
2017-07-01,47.6650793650794
2017-08-01,49.9426086956522
2017-09-01,52.9103174603175
2017-10-01,54.9221212121212
2017-11-01,59.9562121212121
2017-12-01,61.2087301587302
2018-01-01,66.153768115942
2018-02-01,63.438
2018-03-01,64.1980303030303
2018-04-01,68.792380952381
2018-05-01,73.3407246376812
2018-06-01,71.9942857142857
2018-07-01,72.7175757575758
2018-08-01,71.0585507246377
2018-09-01,75.355
2018-10-01,76.7260869565217
2018-11-01,62.38
2018-12-01,53.7915873015873
2019-01-01,56.4344927536232
2019-02-01,61.102
2019-03-01,63.7898412698413
2019-04-01,68.5716666666667
2019-05-01,66.8769565217392
2019-06-01,59.729
2019-07-01,61.471884057971
2019-08-01,57.595303030303
2019-09-01,60.0095238095238
2019-10-01,57.2952173913043
2019-11-01,60.4207936507936
2019-12-01,63.3965151515152
2020-01-01,61.6830434782609
2020-02-01,53.3725
