DATE,POILAPSPUSDM
1999-07-01,18.75
1999-08-01,20.21
1999-09-01,22.37
1999-10-01,22.19
1999-11-01,24.22
1999-12-01,25.01
2000-01-01,25.21
2000-02-01,27.15
2000-03-01,27.49
2000-04-01,23.45
2000-05-01,27.23
2000-06-01,29.62
2000-07-01,28.16
2000-08-01,29.41
2000-09-01,32.08
2000-10-01,31.4
2000-11-01,32.33
2000-12-01,25.28
2001-01-01,25.95
2001-02-01,27.24
2001-03-01,25.02
2001-04-01,25.66
2001-05-01,27.55
2001-06-01,26.97
2001-07-01,24.8
2001-08-01,25.81
2001-09-01,25.03
2001-10-01,20.73
2001-11-01,18.69
2001-12-01,18.52
2002-01-01,19.15
2002-02-01,19.98
2002-03-01,23.64
2002-04-01,25.43
2002-05-01,25.69
2002-06-01,24.49
2002-07-01,25.75
2002-08-01,26.78
2002-09-01,28.28
2002-10-01,27.53
2002-11-01,24.79
2002-12-01,27.89
2003-01-01,30.7105797101449
2003-02-01,32.9
2003-03-01,30.3592063492064
2003-04-01,25.6309090909091
2003-05-01,26.0751515151515
2003-06-01,27.9092063492064
2003-07-01,28.5865217391304
2003-08-01,29.6755555555556
2003-09-01,26.9321212121212
2003-10-01,29.0144927536232
2003-11-01,29.1
2003-12-01,29.9457971014493
2004-01-01,31.3056060606061
2004-02-01,31.3285
2004-03-01,33.6650724637681
2004-04-01,33.7218181818182
2004-05-01,37.4930158730159
2004-06-01,35.5495454545455
2004-07-01,37.8554545454545
2004-08-01,42.0774242424242
2004-09-01,41.5677272727273
2004-10-01,46.8652380952381
2004-11-01,42.1198484848485
2004-12-01,39.0502898550725
2005-01-01,43.0107936507936
2005-02-01,44.3765
2005-03-01,50.9179710144928
2005-04-01,50.6404761904762
2005-05-01,47.8792424242424
2005-06-01,53.8906060606061
2005-07-01,56.3671428571429
2005-08-01,61.8856521739131
2005-09-01,61.7186363636364
2005-10-01,58.1852380952381
2005-11-01,55.0678787878788
2005-12-01,56.3795454545455
2006-01-01,62.2560606060606
2006-02-01,59.6761666666667
2006-03-01,60.9295652173913
2006-04-01,67.9966666666667
2006-05-01,68.7088405797101
2006-06-01,68.2901515151515
2006-07-01,72.4353968253968
2006-08-01,71.811884057971
2006-09-01,62.2068253968254
2006-10-01,57.8859090909091
2006-11-01,58.1224242424242
2006-12-01,60.9785714285714
2007-01-01,53.8492753623189
2007-02-01,57.5653333333333
2007-03-01,60.5998484848485
2007-04-01,65.1092063492063
2007-05-01,65.176231884058
2007-06-01,68.1884126984127
2007-07-01,73.5606060606061
2007-08-01,70.1269565217391
2007-09-01,76.6651666666667
2007-10-01,81.9585507246377
2007-11-01,91.3880303030303
2007-12-01,89.7460317460317
