"date","ipca","igp","ipa","tradables","nontradables","monitorados","capacidade","pib","desemprego","comm","cambio","pimpf","pimpf.hiato","ipcaindice","pib.hiato","pibma7"
1999-10-01,0.786962927176673,175.082333333333,172.213666666667,0.102297480443552,0.0136476509704421,0.211220961500467,79.7821370065677,1.1,0.117958451025586,53.2741793669499,1.91326666666667,75.9463932761578,-0.0835432159460936,1577.29333333333,-0.0259843957796365,0.357142857142857
2000-01-01,0.328278201577041,182.008333333333,180.796333333333,0.0912040346461841,0.0196019457689186,0.186414140056383,80.2352970811482,1.2,0.125546601716855,57.3674818027953,1.77286666666667,77.2921482769373,-0.0608190375766592,1600.97,-0.0167645343340082,0.771428571428571
2000-04-01,0.416116640320981,183.828,182.095666666667,0.0603319194466102,0.0299935624130384,0.152560679735414,80.1033257360031,1.5,0.117475085933021,59.0604404265235,1.80066666666667,78.2866975745619,-0.0416039539494998,1612.09333333333,-0.0144890111376447,1.28571428571429
2000-07-01,0.973967744855177,191.251,191.837666666667,0.0792728743271704,0.0346994726181139,0.128640225221629,80.8626175819224,1.2,0.113540316372421,61.3930436532635,1.8146,79.0311040850789,0.288516046350992,1656.22,-0.00886655196922137,2.14285714285714
2000-10-01,0.235880475852382,196.558666666667,199.255666666667,0.045675737797071,0.039761613549018,0.11980250113986,81.5802314202424,1.1,0.107057753030543,63.7438305872956,1.9295,78.2741526189117,-0.012004678864983,1675.11,-0.000897012913280926,2.68571428571429
2001-01-01,0.455171373123459,199.472333333333,202.427666666667,0.0369554231213169,0.0402769765323387,0.133426698143457,81.6282932338568,0.4,0.101296936158483,61.3207788091175,2.01433333333333,77.5427527594105,0.170701199596792,1700.41666666667,0.00844043647183579,3.24285714285714
2001-04-01,0.692562136556144,204.036,207.659666666667,0.0501115336974141,0.0484706803439872,0.132082023474214,80.7846848450824,-0.4,0.109453188478542,59.267957755541,2.2877,76.2001561974113,-0.776659036444831,1724.90333333333,0.00235103577081031,3.65714285714286
2001-07-01,0.724938556091851,211.182333333333,216.432333333333,0.0399380873870713,0.054944371266096,0.122976055937442,79.9191581190879,-0.5,0.110225407601683,55.3562640871264,2.54863333333333,78.1337945953188,0.258767521155538,1766.12333333333,-0.00942918328615705,3.41428571428571
2001-10-01,0.6087065111019,217.203,224.015,0.061650696689258,0.0540380853886451,0.12308353348405,79.4669021065209,-0.4,0.115820705470218,48.8216212933234,2.54786666666667,79.0546323025011,0.211849938794776,1800.61,-0.0178414964469739,2.71428571428571
2002-01-01,0.449040802918605,219.618666666667,225.487,0.0774975453168478,0.0566361112165072,0.0998811325832126,80.8383375635939,2.4,0.114660382311537,50.6848518896554,2.38056666666667,79.119302651525,-0.347073770471421,1830.11,-0.0274323287897219,2.21428571428571
2002-04-01,0.665977231750189,222.799,228.384333333333,0.0695102695849667,0.0499421731432742,0.127310904657264,80.7574704015784,0.5,0.113678505651517,55.5515208497149,2.50413333333333,80.3841868864526,0.560547179005316,1859.52333333333,-0.00906037427034789,1.88571428571429
2002-07-01,0.852752423119467,234.833666666667,245.515,0.0751909782701556,0.0528024405895115,0.107115046288651,81.0645786981368,1.2,0.111548674400772,57.3464364071659,3.1281,79.2632125720318,-0.0359546330568274,1900.97,-0.0144015253318421,1.82857142857143
2002-10-01,2.01399213649719,260.345,282.566333333333,0.123529612574359,0.0652125666266756,0.131796704795101,81.299465966213,1,0.109786619024572,59.8206460609844,3.6686,78.6500461079979,-0.162751309919552,1992.29,-0.00683685207138252,2.07142857142857
2003-01-01,1.59427644639305,284.950333333333,314.431666666667,0.169664125304696,0.0912565469885998,0.217181369637733,80.1,-0.4,0.108190249026584,67.1708227947823,3.49123333333333,79.5305756053741,-0.239118514459809,2116.2,-0.00552589695663386,2.12857142857143
2003-04-01,0.652572200921721,293.272,322.302666666667,0.199582264494488,0.0961764966128199,0.212457176694061,79.6666666666667,-0.8,0.112929443686747,63.0955286420884,2.98506666666667,81.9765807625512,0.137761356115883,2173.00666666667,-0.0168083715297126,2.17142857142857
2003-07-01,0.474290739699505,291.321333333333,316.167,0.18385738899872,0.0852681563456773,0.187264724327779,79.4,0.8,0.116334148746667,64.0736108450783,2.93423333333333,84.1945540395065,0.305577157066329,2190.20666666667,-0.0308704214773582,2.32857142857143
2003-10-01,0.277772470443504,296.788,322.828333333333,0.119260523051168,0.0733838727398946,0.154938811208759,79.7666666666667,1.1,0.11496101349543,68.4476417700534,2.8994,85.1872891452858,-0.434656655339921,2219.29666666667,-0.0289114121294824,2.34285714285714
2004-01-01,0.518974914175651,303.274,330.842,0.0662884896083327,0.0598150266640721,0.0778905948273329,80.6,1.5,0.111557632800077,73.8452907578495,2.89506666666667,87.2909864758428,0.247132932543925,2259.10333333333,-0.0292098636111794,2.57142857142857
