"date","ipca","capacidade","pib","desemprego","comm","cambio","cambioMSD1","cambioMSD3"
2000-06-01,0.422535694808965,-0.0016448040942827,1.5,-0.0703999287825087,0.0295107710941173,0.0156808182604445,-0.95433807276604,-0.517454260696624
2000-09-01,1.19486446377335,0.00947890538804426,1.2,-0.0374093152538795,0.0394951884864782,0.00773787486116254,-0.756496077742466,-0.122497585843873
2000-12-01,0.299459689049054,0.00887448192723931,1.1,-0.0575353033647527,0.0382907703242224,0.0633197398875785,65.9629904803434,-0.241722782692256
2001-03-01,0.445458330575642,0.000589135539059553,0.4,-0.0442660962825041,-0.0380123339914398,0.0439664852725232,-0.517868781075328,0.390985920475636
2001-06-01,0.619577353430889,-0.0103347547198797,-0.4,0.0745940548187982,-0.0334767609518903,0.135710739698825,8.52763118415639,3.05840781800473
2001-09-01,0.648274314359579,-0.0107139952040954,-0.5,0.00383320294883108,-0.0660001426833175,0.114059244364791,-0.293629514191805,0.369465459999497
2001-12-01,0.660041174435279,-0.00565891862740914,-0.4,0.0508647384015801,-0.118047034090271,-0.000300814815783502,-0.999993044354101,-0.0579425418571021
2002-03-01,0.376886488701154,0.0172579453925945,2.4,-0.00374056766934843,0.0381640459078072,-0.0656627767020776,47646.4916986262,-0.448843404400369
2002-06-01,0.688619355815301,-0.00100035656908269,0.5,-0.0118928432195535,0.0960182140939195,0.0519064088382318,-0.375110138726517,-0.595526567445662
2002-09-01,0.859236130888219,0.00380284690730474,1.2,-0.0209992700166646,0.0323108265983724,0.249174697832916,22.0444270249603,8.86215254854284
2002-12-01,1.88135753086215,0.00289753270600302,1,-0.0158931532476459,0.0431449591087294,0.172788593715035,-0.519136005785261,0.36970406674381
2003-03-01,1.5200197385511,-0.0147536758324035,-0.4,-0.00989811530250616,0.122870233235274,-0.0483472350942231,-0.921708764813699,-0.0037703604281174
2003-06-01,0.788915816772409,-0.00540990428630883,-0.8,0.0412769661073124,-0.060670600465095,-0.144982193494181,7.99261596912982,-0.435591759184575
2003-09-01,0.40661863856908,-0.00334728033472802,0.8,0.0285535369996336,0.0155016088150725,-0.0170292120778989,-0.986203790645351,-0.55561232518581
2003-12-01,0.300072537437542,0.00461796809403854,1.1,-0.0118807701368652,0.068265716061343,-0.0118713576516296,-0.514027526798632,-0.0928870248623048
2004-03-01,0.541829908071634,0.0104471374843294,1.5,-0.0264305624190862,0.0788580709022712,-0.00149456209330665,-0.984150077338575,-0.979806919667539
2004-06-01,0.636939762892927,0.0124069478908187,2.7,0.00248961349690721,0.059007786995197,0.0515704877262469,1189.62377760577,5.47035282789511
2004-09-01,0.766800121272272,0.0126633986928104,1.2,-0.0488290514288242,0.0284233010918446,-0.0224129813535382,-0.811115299383319,0.128952592438249
2004-12-01,0.637073887083807,-0.00161355385235973,0.9,0.0129431572919267,0.0472929586830827,-0.0642556337081672,7.21907914621133,1.3041828441443
2005-03-01,0.521504355409215,0,0.8,0.0118674444870353,0.0581928440205631,-0.0432810274456294,-0.546295902336357,-0.107846156279776
2005-06-01,0.582485481472022,-0.00484848484848492,1.3,-0.0381559119245562,0.0514419063650396,-0.068809348062704,1.5275500399379,0.650698076409513
2005-09-01,0.271646507270694,-0.00771416971173357,-0.9,0.0158911235317151,0.100277456331775,-0.0560250433287207,-0.337067186669155,-0.0922048147283104
2005-12-01,0.495516890799747,0.00204582651391168,1.5,0.024384748550013,0.0168648362820492,-0.0392394073525853,-0.509453166435316,-0.0342180981642714
2006-03-01,0.403107989810799,-0.00204164965291962,1.6,-0.0218854111228376,0.0199824578557325,-0.0244429959706092,-0.611971170719836,-0.439514581786474
2006-06-01,0.16886116027764,0.00245499181669398,0.3,-0.0144318063130862,0.0996629643041609,-0.00487441916967835,-0.960231713967434,-0.590418406470616
2006-09-01,0.231265173712367,0.0020408163265305,1.5,0.0109098562349798,0.011107101289526,-0.00637846581111797,0.712327052108974,-0.693697446810034
2006-12-01,0.309622730899615,0.00244399185336052,1.4,-0.049396780736797,-0.0474948374809009,-0.00887660293327195,0.936694516877729,-0.783595980501646
2007-03-01,0.345693209315469,0.00487606663957748,2,-0.00681623635455268,0.0218738301645328,-0.0205463532547221,4.35766943434718,2.78131679929836
2007-06-01,0.312982544051102,0.00161746866154459,1.2,0.0122995860099489,0.0952000673413997,-0.0597997184034424,7.47088481626805,6.52717068386631
2007-09-01,0.306211915019739,0.00322971336293903,1.1,-0.0195347383660089,0.0175301516399105,-0.0331645101041544,-0.692426513916033,0.250454357111848
2007-12-01,0.347830587665019,0.00965794768611684,1.8,-0.0502554890405971,0.123398501453464,-0.0681343543334494,3.22070614485463,0.827795497693521
2008-03-01,0.384750258187828,0.00797130330809076,1.2,-0.0363943667737071,0.120770040909288,-0.0275095713885516,-0.836982075918041,-0.302551508153729
2008-06-01,0.788366328783309,-0.00711743772241986,2,-0.0633650910536952,0.164403736751722,-0.0463396835151329,1.83751704401361,0.161177005187468
2008-09-01,0.420531924075044,-0.00358422939068097,1.4,0.0154027149318626,-0.0308084389076548,0.00704806782254982,-0.976866890029435,-0.608580896982102
2008-12-01,0.328071901198981,-0.0223820943245405,-3.5,0.0383738611072087,-0.357544942364983,0.36599412105821,2695.54746779108,45.0924593335133
2009-03-01,0.313580561772146,-0.0216680294358136,-1.3,0.107761387791167,-0.126170424705987,0.0146826326267713,-0.998390616123233,-0.0141887952344564
2009-06-01,0.466585465561449,0.00459674049310498,1.4,0.0159009137535738,0.0944865957912806,-0.10235879679723,47.6006949649404,0.0776924814388658
