"ipca","pib","desemprego","comm","cambio","pimpf","ipcaindice","pib.hiato","salarios"
0.656520288091807,2.4,0.110821316797438,53.9730665501868,2.3458,79.3468552718048,1839.61,-0.00906037427034789,807.1
0.665977231750189,0.5,0.113678505651517,55.5515208497149,2.50413333333333,80.3841868864526,1859.52333333333,-0.0144015253318421,827.666666666667
0.852752423119467,1.2,0.111548674400772,57.3464364071659,3.1281,79.2632125720318,1900.97,-0.00683685207138252,850.733333333333
2.01399213649719,1,0.109786619024572,59.8206460609844,3.6686,78.6500461079979,1992.29,-0.00552589695663386,865
1.59427644639305,-0.4,0.108190249026584,67.1708227947823,3.49123333333333,79.5305756053741,2116.2,-0.0168083715297126,862.733333333333
0.652572200921721,-0.8,0.112929443686747,63.0955286420884,2.98506666666667,81.9765807625512,2173.00666666667,-0.0308704214773582,866.566666666667
0.474290739699505,0.8,0.116334148746667,64.0736108450783,2.93423333333333,84.1945540395065,2190.20666666667,-0.0289114121294824,860.733333333333
0.277772470443504,1.1,0.11496101349543,68.4476417700534,2.8994,85.1872891452858,2219.29666666667,-0.0292098636111794,858.9
0.518974914175651,1.5,0.111557632800077,73.8452907578495,2.89506666666667,87.2909864758428,2259.10333333333,-0.0232937842626387,885.166666666667
0.676011523038839,2.7,0.112037871014083,78.2027379454871,3.04436666666667,88.2641957500464,2292.31666666667,-0.00749108448486546,892.5
0.694268599991776,1.2,0.106700964053369,80.4255179123183,2.97613333333333,87.4958805959332,2341.30666666667,-0.00629949877289737,915.733333333333
0.56544710253772,0.9,0.108072668218889,84.2290786080111,2.7849,89.5725111150172,2379.85333333333,-0.0097129390654177,915.666666666667
0.494911519144048,0.8,0.109068259309012,89.1306082414428,2.66436666666667,88.9212031645719,2427.25666666667,-0.0100940340280229,948.4
0.571618796544559,1.3,0.105083808059262,93.7156566448581,2.48103333333333,89.5509913010418,2470.99,-0.0065170423311397,953.033333333333
0.331883130193879,-0.9,0.106826159452756,103.113224311667,2.34203333333333,90.626066904347,2486.58333333333,-0.0208372270173313,986.8
0.458991769120852,1.5,0.10943474660876,104.852211958197,2.25013333333333,90.7284445275199,2524.73333333333,-0.0195676149774254,996.866666666667
0.372381209258105,1.6,0.106825122623139,106.947416864732,2.19513333333333,91.3382843108472,2561.00333333333,-0.0119438373591957,1013
0.141219527654667,0.3,0.105422835676475,117.606113454144,2.18443333333333,92.3612491309029,2577.14333333333,-0.01706635796281,1038.2
0.242850896085627,1.5,0.106604427363609,118.912376468547,2.1705,94.1030195666198,2581.94666666667,-0.0113980460062795,1042.7
0.2891926854761,1.4,0.101386504801977,113.264652473705,2.15123333333333,95.9315259895401,2604.04333333333,-0.012566073394526,1073.46666666667
0.308675893115771,2,0.100507179945483,115.74218424556,2.10703333333333,96.8932294775368,2637.52,-0.00313065142533331,1100.06666666667
0.352821667095204,1.2,0.101853075483118,126.760847979978,1.98103333333333,99.4930508852682,2661.93666666667,0.0026527519787567,1118.7
0.404321464034805,1.1,0.0998829645053443,128.982984867071,1.91533333333333,100.344316677632,2685.79,0.00342520967956639,1111.53333333333
0.401220382429646,1.8,0.0949162846878053,144.899291912662,1.78483333333333,101.43153159388,2714.82,0.00808130013443753,1144.53333333333
0.3921701674268,1.2,0.0912873435473861,162.398785324681,1.73573333333333,102.535188891449,2759.76,0.00754138943434635,1184.8
0.75207682236559,2,0.0856111670123245,189.097752475999,1.6553,93.5006628978975,2809.95,0.0177900524049748,1211.86666666667
0.480089919339572,1.4,0.0869534130913736,183.271945921268,1.66696666666667,87.40984100372,2853.94666666667,0.0221345719387376,1249.43333333333
0.298796030568426,-3.5,0.0903274769169238,117.74398857973,2.27706666666667,90.2207909438662,2884.02333333333,-0.022967919939669,1273.23333333333
0.289293035934826,-1.3,0.0998814886021287,102.888179534048,2.3105,94.0665847062281,2919.34666666667,-0.0478859231489943,1325.16666666667
0.491213430141513,1.4,0.101559085066852,112.609733365383,2.074,98.5095198786946,2955.39666666667,-0.0383894572211609,1318.3
0.350551427343484,2.4,0.0998205199386186,120.263673772782,1.86513333333333,100.467910173429,2979.57666666667,-0.0263225486376029,1339.53333333333
0.286077833355385,2.8,0.0991931176505561,131.703291587447,1.7375,102.238390462375,3006.08333333333,-0.00828464929286177,1353.83333333333
0.546048230134218,2.3,0.0933646506637207,140.189211077268,1.8016,102.368163380781,3061.33666666667,0.00296344590646003,1400.06666666667
0.392952083760759,0.6,0.0895928627946738,143.190616246649,1.7913,102.667175138227,3106.3,0.00883985973196344,1425.93333333333
0.321633321811048,1.1,0.0857079783130711,141.970321908116,1.7485,103.43749348872,3116.54333333333,0.0114610652346774,1478.63333333333
0.660304384811005,1.6,0.0807790977919969,159.107855804966,1.69593333333333,102.588235415297,3173.83666666667,0.0176031243445571,1520
0.662239486266441,1.4,0.0804369438251718,179.307751776142,1.66653333333333,101.742432369854,3248.16,0.0177941105190194,1550.1
0.524982026717372,0.9,0.0790537171074886,189.516403084167,1.59483333333333,100.734818476466,3311.06666666667,0.0163141467304933,1566.4
0.510833542629154,-0.3,0.0786454747662138,184.904346741239,1.6361,99.6552324119266,3338.95666666667,0.00529704443557577,1620.9
0.406055428580452,1.1,0.0756753701444935,176.161924736607,1.7993,98.9550525043851,3386.60333333333,0.00798130554619281,1632.76666666667
0.263097109100935,-1.3,0.0756991180134858,182.660239544736,1.76716666666667,100.486001941481,3435.46333333333,-0.00977830857937301,1704.5
0.423482959397974,1.5,0.0751193086219,173.219310297947,1.96273333333333,101.431658508917,3476.70666666667,0.0020113321059978,1732.4
