"date","ipca","ipa","igp","tradables","nontradables","monitorados","pibhiato","capacidade","desemprego","comm","cambio","pimpf","pimpf.hiato","desemprego.hiato","capacidade.hiato","tcambio","ipcaindice","lpimpf.hiato","lcapacidade.hiato","cambioMA3","cambioMA6"
1999-07-01,0.689206294807137,156.336,163.539,0.0523865859390618,-0.000757385856174353,0.155102119898289,3.10648110677936e-05,78.1683606429072,0.114293779612538,47.5040320131758,1.7995,72.0068161386472,-0.759149248891717,-0.00018099630732045,0.116962312317099,0.031526603924954,1532.47,-0.0104487652352212,0.00146137601641261,0.0369573768805313,-0.00289143972243551
1999-08-01,0.500846714707713,159.65,166.128,0.0612728417913819,0.004760520145624,0.182465930198298,-0.000736694363634105,78.2046043241988,0.11712579239756,49.7544817182194,1.88,73.6241487883272,0.53338186466857,0.00139270852789761,-0.227046388202538,0.0229015085008128,1541.05,0.00729708205569679,-0.00288518854077502,0.0241692623606945,0.000114236509186812
1999-09-01,0.538753417874786,163.153,168.599,0.0661605621280263,0.0094994809531348,0.190278799493833,-0.000630084607056713,78.4280889906065,0.115431877185258,51.77346376741,1.8973,73.9678948618832,0.60683086591402,-0.00154651968401066,-0.392211619809927,0.0134190310442271,1545.83,0.00823888499843939,-0.00494661301059462,0.0299548593023187,0.0251156897924578
1999-10-01,1.08051559137758,166.935,171.189,0.0907642674079039,0.0105087785745637,0.201007401592425,0.000436494147642241,79.2385790371554,0.116837954051722,52.5319085995558,1.9687,74.0370828779134,0.476435642339283,-0.00145975789022841,0.0291346935667178,0.00371957207655322,1564.23,0.00643403262782893,0.000416797239401134,0.00859393202328296,0.0227756544519071
1999-11-01,0.837272854826009,171.998,174.969,0.103431066388715,0.0141524400357707,0.223713253238015,0.000845583324146082,79.8191571465097,0.119022423713231,53.2836966508116,1.9291,73.8935690331724,0.176693263653505,-0.000644567280122424,0.256138442988998,-0.00586224924602369,1579.09,0.00236517600522035,0.0032539892437029,-0.00985996168494522,0.00715465033787466
1999-12-01,0.443100335326429,177.708,179.089,0.112697107534036,0.016281734300992,0.208942229670962,0.00101165642101758,80.288674836038,0.118014975311805,54.0069328504822,1.842,73.4538997679966,-0.437415496953804,-0.0029424147162203,0.441622577337981,-0.0126065792234123,1588.56,-0.00594716459884115,0.00553809590730658,-0.0293256489592956,0.000314605171511514
2000-01-01,0.448258421812788,180.13,181.266,0.113251129196819,0.0170885472288886,0.201176517157017,0.00072820624719605,80.0026970302981,0.124269163504712,55.5724212450119,1.8029,73.2656674388878,-0.8925499556902,0.00227537630278124,-0.0432664601249968,-0.0148315734412234,1598.41,-0.0120705426323537,-0.000535105307298167,-0.0278449599357642,-0.00962551395624062
2000-02-01,0.213710137742224,181.173,182.259,0.0910166245604234,0.0223853528829596,0.18013849491418,1.88236104696204e-05,80.520062794523,0.1273113324287,58.042724064283,1.7745,75.1811042344567,0.620675423054351,0.00492152762947996,0.344184840046381,-0.0132674039741836,1600.49,0.00839679525017711,0.0042781191312784,-0.0187591357123699,-0.0143095486986576
2000-03-01,0.322866045176112,181.086,182.5,0.0693443501813096,0.0193319371949074,0.177927408097952,-0.000249514231568437,80.1831314186234,0.125059309217154,58.487300099091,1.7412,73.6311041342754,-1.44560983051234,0.00313687944466326,-0.0666833959494966,-0.00911981643054413,1604.01,-0.0192624183844972,-0.000841118955164255,-0.00662897982141682,-0.0179773143903562
2000-04-01,0.43149864483288,181.437,183.138,0.0615985536380235,0.0307495966574358,0.161214279044242,-0.000918028092503187,80.3812170064971,0.118308759540038,56.4551399290546,1.7674,75.6392476793808,-0.0911521151404173,-0.00241323932020901,0.07571241236937,-0.00378197344889864,1610.75,-0.000974113082742534,0.000934492651571084,0.00973710577702288,-0.00905392707937066
2000-05-01,0.289919640774857,181.568,183.474,0.0561046120785911,0.0298217364484028,0.156370119358121,-0.00206350511320375,79.8129687800096,0.116981647444038,59.4040595903128,1.8271,76.327529163998,-0.11349396027903,-0.00216241916809694,-0.56292138412384,0.000647606026292907,1610.91,-0.00125106157637322,-0.00702966287664175,0.0124567147849258,-0.00315121046372208
2000-06-01,0.526931635355207,183.282,184.872,0.063292592623216,0.0294093541332765,0.140097640803879,-0.00113994422811703,80.1157914215026,0.117134850814986,61.3221217602032,1.8075,78.3527456274994,1.2311692771906,-0.000236073975051487,-0.383558880715967,0.00341422195852385,1614.62,0.0160317375186692,-0.00476943130265539,0.00553635589988499,-0.000546311960765914
2000-07-01,1.21961556469941,186.559,187.132,0.0741003499174429,0.030852403192841,0.122860976103074,0.00125949875119585,80.975730572117,0.115637570797844,59.8455702146376,1.797,78.7827254278658,1.1058220587269,0.00020796035306607,0.301882723094295,0.00610180074923459,1640.62,0.014267220300483,0.003748698773272,-0.00342917799905655,0.00315396388898317
2000-08-01,1.24918822144574,192.286,191.855,0.0823445411997039,0.0351754986430755,0.134802776735189,0.00172842492186476,80.8092019479377,0.114103258193625,60.7517604011792,1.8084,78.1860557156422,0.085813661266215,0.000773046915270179,-0.0606054086131849,0.00927478645110442,1662.11,0.00118026848120412,-0.000732049512868649,0.00565031768719049,0.00905351623605812
2000-09-01,0.45309944842038,196.668,194.766,0.0813737318643644,0.0380705160184254,0.128256922826622,0.000630033432154786,80.8029202257124,0.110880120125794,63.5818003439737,1.8384,77.1510209696898,-1.31320376164565,-0.000217625748553649,-0.276407355449535,0.0126412407248133,1665.93,-0.0168168843500007,-0.00339686271869866,0.014838222456427,0.010187289178156
