"date","ipca","ipa","igp","tradables","nontradables","monitorados","pibhiato","capacidade","desemprego","comm","cambio","pimpf","pimpf.hiato","ipcaindice","lpimpf.hiato","pib"
2009-07-01,0.376266205329576,453.808,412.883,0.041106088751822,0.0519344148782994,0.0408259723708102,5943.26112830883,80.5,0.0985934954307342,117.044336999179,1.932,92.7134986452406,0.174422256877989,2974.22,0.00224261226479339,285444.2
2009-08-01,0.319565135182765,449.085,410.402,0.0359104300595778,0.0545561236184011,0.0388553003752898,-614.53216194961,80.7,0.101335377188197,123.644966954095,1.8444,94.2956437828248,0.102506436759313,2978.68,0.00158293041520352,284240.4
2009-09-01,0.334160826035342,451.165,411.843,0.0337397935567589,0.0542409230235168,0.0409294848624122,-6623.70729456161,81.1,0.0995326871969246,120.101717365073,1.819,95.2902254118584,-0.605150579750756,2985.83,-0.00579864607107616,283157.9
2009-10-01,0.26416994275904,451.558,412.274,0.0302467352203517,0.0511976235244445,0.0427986718863069,7745.94130880572,81.6,0.0989616192876928,127.557909161011,1.7376,97.5811465324937,0.00996954058373944,2994.19,0.000563696313347073,301895.9
2009-11-01,0.362162025865704,451.925,412.558,0.0263551471549071,0.0544472372389693,0.0450887069014294,7695.3800138355,81.9,0.099318650442853,132.46017097885,1.7254,100.448718629018,1.34624147195677,3006.47,0.0137997527702103,305048.8
2009-12-01,0.280196276192816,450.812,412.275,0.0262526858244534,0.055287685370673,0.0473812536709817,14181.2416217632,82.9,0.0992990832211225,135.091794622481,1.7495,100.668353196039,0.296424118073205,3017.59,0.00307285121489098,313522.8
2010-01-01,0.560066282467657,451.115,413.098,0.0332312040880596,0.055706824556601,0.0482129211676923,-11643.6444929718,82.3,0.0956817254494741,140.879356264572,1.779,101.335994807788,-0.0228463266942214,3040.22,-0.00025467765394005,288972.8
2010-02-01,0.629241508985478,456.323,417.55,0.0368507709125097,0.0575815998961851,0.0496763217357372,-16975.1162950548,82.1,0.0926756793775705,137.553819929202,1.8408,101.877708760338,-0.186095240277041,3063.93,-0.00195081392786367,285723.2
2010-03-01,0.482745139603187,462.442,422.158,0.040888835628466,0.0652788538136748,0.0467413370134881,5380.16431324423,83.3,0.0917365471641174,142.134457038029,1.785,103.514230113037,1.02846205512488,3079.86,0.00982266639741258,311651.6
2010-04-01,0.484065360510074,464.803,424.824,0.0421318116487213,0.0697329814254388,0.0428880458514644,-3717.80605466187,83.8,0.0887283040597067,150.037752790342,1.7558,103.165272421615,0.554949770806616,3097.42,0.00524370525097595,307083.5
2010-05-01,0.441340845183932,471.034,429.553,0.0377913181848928,0.0724001126247651,0.0431999764733546,-151.309203638288,83.7,0.0916498904882663,141.225643659624,1.8124,103.270056296137,0.773158919056144,3110.74,0.00740690566527569,315988.4
2010-06-01,0.203381886546354,478.929,435.151,0.0297520170806698,0.070579944701979,0.0420550897387233,-848.300473363604,83.6,0.0884003938360485,138.308452289982,1.8057,101.826762981598,-0.418002453811866,3110.74,-0.00415597004744317,321023.2
2010-07-01,0.192390351753255,479.049,435.363,0.0258456003242489,0.0697238231948205,0.0394647171381997,4883.52830853488,83.6,0.0884582184368354,138.545068482847,1.7688,101.533603739179,-0.475106598168622,3111.05,-0.00468229166892087,332454.2
2010-08-01,0.227627215782632,482.654,437.365,0.0302704534503342,0.063873106182518,0.0377004499465714,1475.29054817278,83.6,0.0868188223669198,142.362782418929,1.7588,100.769168343908,-1.14433602461777,3112.29,-0.0112576236207129,334225.6
2010-09-01,0.524467537163879,490.512,442.255,0.0392329101496827,0.0632369452659245,0.0358394747449138,-6018.22190574481,83.4,0.0818468941354581,145.003114822572,1.7179,101.081652744606,-0.968155950946638,3126.29,-0.00943799664940936,331255.9
2010-10-01,0.72109084916446,497.906,447.351,0.0466944946661145,0.0707731160869169,0.0346016661712292,3852.06169972272,83.4,0.0815469670076725,152.693365680988,1.6827,101.344311833808,-1.0818130211816,3149.74,-0.0104536234793766,344963.8
2010-11-01,0.765697979402562,505.315,452.598,0.06037609302984,0.0708795653478858,0.0338803303482014,12906.8010098342,83.8,0.0801730590046263,157.826619839809,1.7125,102.916761059763,-0.064682853767593,3175.88,-0.000399714560597175,356707.5
2010-12-01,0.525033726655807,512.698,458.304,0.068739682421749,0.0727985132997289,0.0313087446095979,10642.2900830286,83.6,0.0806172673636919,166.803581894102,1.6926,103.666399464967,0.0893132074642438,3195.89,0.00113542652250143,355797.4
2011-01-01,0.632699630841019,514.515,460.569,0.0660858790784289,0.0765253567702489,0.0324338458880573,-12660.1436422379,83.4,0.0815877548671088,172.981435946721,1.6741,103.641156950249,-0.428571303027169,3222.42,-0.00382872817838908,333255.6
2011-02-01,0.649466536514167,520.468,465.308,0.0631085795956652,0.0790698326972221,0.0329479037679059,-12605.4547779414,83.7,0.0811741492005886,179.468167965246,1.6672,109.547741470594,5.22528280358341,3248.2,0.04917810517302,334982
2011-03-01,0.740054195091905,525.643,469.204,0.0603590696912095,0.0792834464421881,0.0452572168610743,-2886.54051829758,83.5,0.078548927407818,185.473651416459,1.6583,102.573813031842,-1.59378319786981,3273.86,-0.015142585109027,347879.6
2011-04-01,0.674613594448529,528.204,471.813,0.0602536766815989,0.0755385351082463,0.0572608697409442,-6093.36712355755,83.2,0.0794949857935231,194.87069783582,1.5856,102.217011429997,-1.59560666858283,3299.07,-0.0152500225008305,349049.3
2011-05-01,0.492550904482114,529.567,474.416,0.0596201851400642,0.0753245401748774,0.0595791931870027,6055.54343092022,83.5,0.0789159265654969,187.741334614091,1.6127,104.775153689652,1.42458074408553,3314.58,0.0138966743050384,366256.2
2011-06-01,0.368744123173809,525.931,473.355,0.0625897943067071,0.0788734660500423,0.0570392510539139,5964.95324599394,83.5,0.0787502389634457,185.93717680259,1.5862,102.171473549478,-0.588476488590388,3319.55,-0.00556235786600734,370951.2
2011-07-01,0.355643000681356,524.827,472.779,0.0643999983855936,0.0817875900579808,0.0567231507994119,4162.95596525533,83.2,0.0780882416387898,188.470696853588,1.5631,102.649627673068,0.528108733948685,3324.86,0.00531690316572409,373143.3
2011-08-01,0.55193280171795,526.21,473.729,0.0689714326575255,0.0867633153997127,0.0571458823328845,4677.18085767643,83.6,0.078093256475012,184.134851319023,1.5962,101.367509678165,-0.106288822648366,3337.16,-0.000909040129067229,376769.3
2011-09-01,0.589766740353435,530.038,476.717,0.0651567051024429,0.0888224002613596,0.0616829891240129,-12805.0295985816,83,0.0797549261848396,182.107492051107,1.749,99.4079760539776,-1.48524802242791,3354.85,-0.0147078606521536,361724.6
2011-10-01,0.406012029930996,534.316,479.771,0.0587235804478636,0.0840733731388874,0.0633766010707708,1654.26059764414,82.7,0.0782765576000434,175.684282650313,1.7719,99.5684200237317,-0.880179801294986,3369.28,-0.00868414420616226,378491
2011-11-01,0.464517890612741,536.905,481.86,0.0487129960173518,0.0848276985476324,0.0627406736705494,10922.8472089211,82.7,0.0744951794993549,178.040256406762,1.7898,100.264501223639,0.16240732808113,3386.8,0.00175016267944805,389560.8
2011-12-01,0.376781849511411,536.767,482.752,0.0441420825131651,0.0859057346189309,0.061998684371158,11918.5554306234,82.2,0.0742543733340821,174.761235152745,1.8362,103.355895799557,3.60321542918673,3403.73,0.03563160343014,391595.1
2012-01-01,0.363041666847709,535.299,483.119,0.0396714950843027,0.086227961839886,0.0570537727240961,-13264.6146876694,80.8,0.0756771467470245,177.618594010884,1.789,97.6085124401567,-1.70248121321426,3422.79,-0.0171551476794747,367215.4
2012-02-01,0.313173915512924,534.297,483.307,0.0376957240894435,0.0797178512413173,0.0548443441158339,-15254.2768760792,82.5,0.0744902403990706,183.12773659145,1.7178,99.0247775793666,0.0784102024625781,3438.19,0.000895827519117987,367177.3
2012-03-01,0.162155879695423,535.574,484.623,0.0340735688742113,0.0737342589929735,0.0457625570858413,7034.41162148741,82.4,0.0769299668943624,187.234388031873,1.7947,98.6877998504081,-0.0181026712800048,3445.41,-0.000110303741609918,392996.5
2012-04-01,0.553571100062982,539.645,488.013,0.0335596158081704,0.0769387981662513,0.0372965160471368,-8611.89863469108,81.8,0.0761641142550308,184.229929622973,1.8542,97.9653429404824,-0.676986727209766,3467.46,-0.00682415380780999,381795.3
2012-05-01,0.391266269667524,546.172,492.941,0.034898423600668,0.0744741621107465,0.0349237840860148,4673.6948843287,82.3,0.0734107835551367,173.347651197449,1.9854,98.0562729090216,-0.750806772542248,3479.94,-0.00754967897420311,400281.3
2012-06-01,0.294834425222028,550.137,496.536,0.0297337443731969,0.0752238948793647,0.0377214354847257,-2071.19878934434,82,0.0757830280555325,162.08035007342,2.0486,98.0051242108913,-1.19785375889948,3482.72,-0.0120398153080243,398714.5
2012-07-01,0.62919623644363,556.975,501.285,0.0307638901758915,0.0824113637965469,0.0366867147394021,9117.97318102617,82.2,0.071302925481012,167.314025591565,2.0282,99.8416483153279,0.0627038774231323,3497.7,0.000756300199562965,414617.4
2012-08-01,0.592139888481788,569.265,509.247,0.0296362519071758,0.0832732420597471,0.0377230905414012,10748.2690147085,82.3,0.0711190058243673,171.974397084423,2.0289,102.192911457115,1.79501449616866,3512.04,0.0178408647920678,419906.3
2012-09-01,0.629714638730878,577.242,514.609,0.0337334912701166,0.0828419597895931,0.0344228382160854,-18300.6940898608,82.3,0.0734369393920154,173.707159468872,2.0275,101.033577262257,0.106321912452842,3532.06,0.00114037302840497,393524.7
2012-10-01,0.569979555003821,579.535,516.779,0.0400147685853356,0.0827341499568781,0.0322604970253089,8335.01007036824,82.4,0.0744648458814074,172.096868282293,2.0293,101.909926882212,0.546611224411535,3552.9,0.00543012146177091,422672.1
2012-11-01,0.555348961937347,576.261,515.347,0.0410488888683076,0.0816586218452691,0.0350400954515266,7601.63841781433,82.5,0.0723630112167731,169.751161329954,2.0672,101.399037462163,-0.310970045959536,3574.22,-0.00303667421350706,423816.4
2012-12-01,0.638461668068676,580.054,518.573,0.0446740715476814,0.0845579351372197,0.0364864035996775,5617.42107622226,82.7,0.073974546679954,170.538214029272,2.0772,101.713910029858,-0.296595414307504,3602.46,-0.00290019206691827,423195.9
2013-01-01,0.653859093496345,582.041,520.751,0.0554342144846225,0.0869173017517773,0.0293681034256579,-4962.28491367586,83.5,0.0772247468713057,174.694947687371,2.0305,102.812896809385,0.527239444841385,3633.44,0.00514902647451532,414131.8
2013-02-01,0.456869597344462,582.356,522.26,0.0643185189256192,0.0913221262424189,0.0153023314159515,-23185.3351986027,82.7,0.0751697203628111,176.177797665212,1.9727,101.412597978036,-1.12241859717263,3655.24,-0.0109978419339676,398645.4
2013-03-01,0.398041269573862,582.996,523.431,0.0690052698095993,0.0934941276878212,0.0161131138726622,908.490601973317,82.4,0.0745327074592948,171.586812298877,1.9823,102.659341089962,-0.136649381161376,3672.42,-0.00132033446886304,427409.8
2013-04-01,0.478648831800074,582.632,524.361,0.0657094803154084,0.0943618080113182,0.0155062980387581,6702.74504082324,83.2,0.0754752270053424,168.320881143811,2.0016,104.103843774968,1.07844335727309,3692.62,0.0104207750330332,438856.8
2013-05-01,0.401462184039192,580.342,523.844,0.0630581978984626,0.097090345480181,0.0154050713344078,1151.75398017123,82.5,0.0775348012969122,167.166782087759,2.0343,102.428670173543,-0.741586622635069,3706.28,-0.00721109365706951,439054.2
2013-06-01,0.460097544034694,582.845,527.188,0.0675369263879535,0.0963253656596452,0.0177370050978325,-484.192159976577,82.4,0.0812220072071695,164.701242429588,2.1724,104.193569594807,0.938570857596275,3715.92,0.00904925595109773,442857
2013-07-01,0.242972465434151,585.725,529.467,0.068070374782111,0.0879589580128868,0.0130642930273162,10311.2048250925,82.5,0.0783800013658109,166.667512153814,2.2516,102.345485739441,-0.905336108013699,3717.03,-0.00880222550460985,458458.9
2013-08-01,0.442386715262039,586.851,530.252,0.0675386790559154,0.0841719303121955,0.012659593419595,897.606573103054,82.3,0.0748553759036702,169.311802383177,2.3416,102.938776685926,-0.257531403378721,3725.95,-0.00247693630333234,452862.2
2013-09-01,0.426801248332678,595.407,535.843,0.0642594778023746,0.0820128704091545,0.0112461104377533,-16408.136476629,82.1,0.0778087179398394,168.680311308511,2.2699,104.186767384045,1.12172816695977,3738.99,0.0108834084548066,438766.7
2013-10-01,0.562563672076435,604.193,541.77,0.0638379889002747,0.082443822463484,0.010136513708096,7940.18086277944,82.5,0.0763432239143979,166.009943319486,2.1881,102.516123369743,-0.295983692512451,3760.3,-0.00276544048964755,466166
2013-11-01,0.512365009116719,606.59,544.135,0.0620415007894863,0.0828743460082646,0.00953368706375013,5306.91497443226,82.2,0.0717851894345403,164.298087443891,2.2947,103.457390179709,0.984250264537749,3780.61,0.00975769949827132,465693.8
2013-12-01,0.757892944100199,608.888,546.506,0.0601461263086009,0.0842681446714433,0.0153697235283869,12055.0429044577,81.8,0.0724252885329542,167.885816346645,2.3449,99.2564052420698,-2.80611015110522,3815.39,-0.0275859212017524,473552.5
2014-01-01,0.340646335002243,612.228,549.664,0.056368509704908,0.0756025581180753,0.0214753743012577,-5842.97765338293,82.3,0.0713660471545221,166.688448334506,2.3816,100.908646116337,-0.756630986866426,3836.37,-0.00708201319308976,455935
2014-02-01,0.533820280091681,612.63,551.329,0.0524844160092821,0.0718965048069773,0.0370727836975051,-11955.6021447585,82.7,0.071772511930741,170.991846037539,2.3831,106.669303198645,5.50430419079233,3862.84,0.0534547182285632,450358.8
2014-03-01,0.811993275379165,622.729,558.458,0.0570987358881589,0.0809451891756925,0.0341765102142086,-1613.37909425265,81,0.0667946983524842,169.83014901628,2.3255,98.6524099464457,-1.73852146254281,3898.38,-0.0169852973717797,462159.8
2014-04-01,0.612668715125934,631.556,565.095,0.0616333773130577,0.0779455394931434,0.0378843435343668,2805.11658765591,81.2,0.0659260521391939,170.99844055245,2.2322,99.9108733709948,0.343357502038245,3924.5,0.00386291524602633,468767.5
2014-05-01,0.480418396180487,630.191,565.857,0.0667170167894175,0.0741922472247136,0.040781438701246,4772.84539779671,80.9,0.0667557073996711,168.760389317498,2.2203,98.321717184267,-0.472656540728153,3942.55,-0.00448745297544395,473347.1
2014-06-01,0.580980127423889,621.279,562.046,0.0693808790828685,0.0763337788180642,0.0394335448276542,-12985.9304766947,80.2,0.0667571252308632,169.074608770665,2.2349,95.1744551255276,-3.02132314832205,3958.32,-0.0310747878164861,458516.5
2014-07-01,0.213873314371849,614.909,558.873,0.0710900084471005,0.0704216288295498,0.046312379075987,7010.77626936062,81.4,0.0690859955737638,165.680713802331,2.224,97.2014870481877,-0.660580551264275,3958.72,-0.00671743486105036,481994
2014-08-01,0.467619500255856,609.295,555.785,0.0681026072879687,0.0707421143471636,0.0507029395636671,-1267.69919876452,80.9,0.0712993873634415,160.137018437262,2.2674,98.0356198409074,0.368961297516677,3968.62,0.00375243378385193,477052.9
2014-09-01,0.664669555988771,611.437,557.503,0.0686334206302255,0.074587940558527,0.0532205983645391,-4801.27280519885,81.4,0.0702399835966828,155.058246076718,2.3323,98.4448799176972,1.00933952016636,3991.24,0.010272893800062,476520.6
2014-10-01,0.427638923663222,610.473,557.642,0.0624942825164623,0.0746948966589114,0.0557447939268265,9601.35623338289,81.1,0.069583531634712,146.42700202046,2.4476,98.4814699701375,1.46027728708516,4008,0.0149466482467355,493304.7
2014-11-01,0.503461551652757,616.945,562.188,0.0601684243855802,0.0744812608579655,0.0582664773518109,4647.80457828491,81,0.0744989693515722,139.595733455403,2.5477,97.8482527483768,1.49969051013831,4028.44,0.015526312871156,489484.4
2014-12-01,0.625239847953136,624.162,567.72,0.0595366196034675,0.0742687657999492,0.0532326064854063,15085.1425282806,80.7,0.071339722432129,126.234914848171,2.6387,93.8798078196509,-1.56763127383638,4059.86,-0.0164104994698047,499867.7
2015-01-01,1.01866691522641,625.487,570.125,0.0557476737103788,0.0829236066622723,0.0754766105275368,-11021.9569728881,81.2,0.0705948733935818,114.224764864217,2.6336,94.2087566452795,-0.246529568131663,4110.2,-0.00241888841151283,472913.9
2015-02-01,1.05120166998824,625.683,572.596,0.0592226062091263,0.0817468646220387,0.096579089837689,-23617.4854858437,80.1,0.0721550006324103,117.588753372027,2.8158,93.8371262982274,0.440110597185452,4160.34,0.00492130931005885,460156.7
2015-03-01,1.20784535571898,630.401,577.34,0.0568057292306727,0.0739698781026956,0.133650877431722,16768.3063354876,80.7,0.0733465150625658,113.572285646043,3.1389,92.9193218240265,0.639482191248405,4215.26,0.00712856624176439,501752.2
2015-04-01,0.671674923326798,639.559,584.654,0.0563858203286243,0.0752507008553527,0.133763376278346,58.9270040774718,80.5,0.0759458913086206,114.842883210707,3.0426,90.2286529465166,-0.913915657700841,4245.19,-0.00988511441304052,486614.6
2015-05-01,0.741307492227771,642.933,587.702,0.0571200042784159,0.0779342655475137,0.140864190743554,-5444.42519574048,79.3,0.077644292611009,118.693472997326,3.0611,89.8052048098617,-0.264721156724164,4276.6,-0.00280428122404786,483239.7
2015-06-01,0.955203032456795,645.114,591.034,0.060490653953277,0.0797572741541897,0.150764957286666,-4920.58274817531,79.1,0.0809581435830186,116.502403296507,3.1111,88.9405004667032,-0.14051841238242,4310.39,-0.00149152235019212,486647.5
2015-07-01,0.778445784283639,649.636,595.475,0.0629232145437757,0.0886486274862488,0.159706053677577,7259.71400462475,78.6,0.0838559999124765,109.743694975107,3.2225,87.4148285008707,-0.761119876117803,4337.11,-0.00861254105840636,502275.2
2015-08-01,0.434086981434197,651.148,597.481,0.0662146559233434,0.0860418663309392,0.157513792706542,-5975.29333300737,77.4,0.0865216781175908,102.520241451272,3.5137,88.3463921466489,1.00166541917851,4346.65,0.0114606595565618,492505.7
2015-09-01,0.650445906359334,656.475,601.126,0.0640962083653791,0.0837745555452796,0.16350888406319,-5935.78717139456,77.5,0.0894287312839663,102.36254837676,3.9058,86.5173515176116,-0.00536873161719598,4370.12,2.00402055225979e-05,496004.7
