"date","ipca","igp","ipa","tradables","nontradables","monitorados","capacidade","pib","desemprego","comm","cambio","pimpf","lpimpf.hiato","ipcaindice","pib.hiato","pibma7"
1999-10-01,0.824415163962873,175.082333333333,172.213666666667,0.102297480443552,0.0136476509704421,0.211220961500467,79.7821370065677,1.1,0.117958451025586,53.2741793669499,1.91326666666667,73.7948505596941,0.000950681344736045,1577.29333333333,-0.0259843957796365,0.357142857142857
2000-01-01,0.354430009416635,182.008333333333,180.796333333333,0.0912040346461841,0.0196019457689186,0.186414140056383,80.2352970811482,1.2,0.125546601716855,57.3674818027953,1.77286666666667,74.02595860254,-0.00764538858889126,1600.97,-0.0167645343340082,0.771428571428571
2000-04-01,0.365875044974796,183.828,182.095666666667,0.0603319194466102,0.0299935624130384,0.152560679735414,80.1033257360031,1.5,0.117475085933021,59.0604404265235,1.80066666666667,76.7731741569594,0.00460218761985113,1612.09333333333,-0.0144890111376447,1.28571428571429
2000-07-01,0.963363308505571,191.251,191.837666666667,0.0792728743271704,0.0346994726181139,0.128640225221629,80.8626175819224,1.2,0.113540316372421,61.3930436532635,1.8146,78.0399340377326,-0.000456465189437871,1656.22,-0.00886655196922137,2.14285714285714
2000-10-01,0.270272164400191,196.558666666667,199.255666666667,0.045675737797071,0.039761613549018,0.11980250113986,81.5802314202424,1.1,0.107057753030543,63.7438305872956,1.9295,79.270543186157,0.000489740386399558,1675.11,-0.000897012913280926,2.68571428571429
2001-01-01,0.476013856741276,199.472333333333,202.427666666667,0.0369554231213169,0.0402769765323387,0.133426698143457,81.6282932338568,0.4,0.101296936158483,61.3207788091175,2.01433333333333,79.9316859303152,0.000971868874057868,1700.41666666667,0.00844043647183579,3.24285714285714
2001-04-01,0.654244345399254,204.036,207.659666666667,0.0501115336974141,0.0484706803439872,0.132082023474214,80.7846848450824,-0.4,0.109453188478542,59.267957755541,2.2877,79.3388206609319,0.000675213103691637,1724.90333333333,0.00235103577081031,3.65714285714286
2001-07-01,0.717466303161196,211.182333333333,216.432333333333,0.0399380873870713,0.054944371266096,0.122976055937442,79.9191581190879,-0.5,0.110225407601683,55.3562640871264,2.54863333333333,78.4383421808269,0.00668460379972924,1766.12333333333,-0.00942918328615705,3.41428571428571
2001-10-01,0.631246737378621,217.203,224.015,0.061650696689258,0.0540380853886451,0.12308353348405,79.4669021065209,-0.4,0.115820705470218,48.8216212933234,2.54786666666667,75.8470236639308,-0.018151426109147,1800.61,-0.0178414964469739,2.71428571428571
2002-01-01,0.46167657074242,219.618666666667,225.487,0.0774975453168478,0.0566361112165072,0.0998811325832126,80.8383375635939,2.4,0.114660382311537,50.6848518896554,2.38056666666667,79.5067253820068,0.012168586583531,1830.11,-0.0274323287897219,2.21428571428571
2002-04-01,0.641574385584352,222.799,228.384333333333,0.0695102695849667,0.0499421731432742,0.127310904657264,80.7574704015784,0.5,0.113678505651517,55.5515208497149,2.50413333333333,79.6274122817094,-0.00158055813617075,1859.52333333333,-0.00906037427034789,1.88571428571429
2002-07-01,0.854545861880711,234.833666666667,245.515,0.0751909782701556,0.0528024405895115,0.107115046288651,81.0645786981368,1.2,0.111548674400772,57.3464364071659,3.1281,80.0412692032414,-0.00644041350850226,1900.97,-0.0144015253318421,1.82857142857143
2002-10-01,2.02521950423988,260.345,282.566333333333,0.123529612574359,0.0652125666266756,0.131796704795101,81.299465966213,1,0.109786619024572,59.8206460609844,3.6686,81.7639779294935,0.00964597351018141,1992.29,-0.00683685207138252,2.07142857142857
2003-01-01,1.59040421772335,284.950333333333,314.431666666667,0.169664125304696,0.0912565469885998,0.217181369637733,80.1,-0.4,0.108190249026584,67.1708227947823,3.49123333333333,80.0637728569752,0.000828057850131181,2116.2,-0.00552589695663386,2.12857142857143
2003-04-01,0.63382155929942,293.272,322.302666666667,0.199582264494488,0.0961764966128199,0.212457176694061,79.6666666666667,-0.8,0.112929443686747,63.0955286420884,2.98506666666667,78.5259668578292,-0.0057312616583894,2173.00666666667,-0.0168083715297126,2.17142857142857
2003-07-01,0.479929380890418,291.321333333333,316.167,0.18385738899872,0.0852681563456773,0.187264724327779,79.4,0.8,0.116334148746667,64.0736108450783,2.93423333333333,79.7163158699618,-0.0053208205398579,2190.20666666667,-0.0308704214773582,2.32857142857143
2003-10-01,0.296486369340766,296.788,322.828333333333,0.119260523051168,0.0733838727398946,0.154938811208759,79.7666666666667,1.1,0.11496101349543,68.4476417700534,2.8994,83.4248675337053,0.00998503594271079,2219.29666666667,-0.0289114121294824,2.34285714285714
2004-01-01,0.520681409641131,303.274,330.842,0.0662884896083327,0.0598150266640721,0.0778905948273329,80.6,1.5,0.111557632800077,73.8452907578495,2.89506666666667,84.1943779548545,-0.00338487114626466,2259.10333333333,-0.0292098636111794,2.57142857142857
2004-04-01,0.653430518691767,313.992,345.483333333333,0.0522333385312724,0.0573417018792937,0.055706687486178,81.6,2.7,0.112037871014083,78.2027379454871,3.04436666666667,86.2472332705384,-0.000948062971509067,2292.31666666667,-0.0232937842626387,2.87142857142857
2004-07-01,0.694130602117361,325.754333333333,360.93,0.061578633508319,0.0697031531743788,0.0782752330496537,82.6333333333333,1.2,0.106700964053369,80.4255179123183,2.97613333333333,88.1158639802973,0.0013387590225135,2341.30666666667,-0.00749108448486546,3.07142857142857
2004-10-01,0.58255001503877,332.821666666667,370.367333333333,0.0611260398348063,0.0689054767986589,0.0912828666956378,82.5,0.9,0.108072668218889,84.2290786080111,2.7849,89.2836238135836,0.00251219833532031,2379.85333333333,-0.00629949877289737,3.57142857142857
2005-01-01,0.50123622629042,338.315333333333,376.092666666667,0.0605290869286718,0.0661832135160851,0.102644878221234,82.5,0.8,0.109068259309012,89.1306082414428,2.66436666666667,88.9039309444631,-0.00387527810225337,2427.25666666667,-0.0097129390654177,4.05714285714286
2005-04-01,0.549909297416152,343.682666666667,380.977333333333,0.0583057429053208,0.0681675187059572,0.11618363360843,82.1,1.3,0.105083808059262,93.7156566448581,2.48103333333333,89.8975492921533,0.00581586099784707,2470.99,-0.0100940340280229,4.61428571428571
2005-07-01,0.331662795512824,339.507,372.147333333333,0.0390144060272789,0.060797026595428,0.0951374794544595,81.4666666666667,-0.9,0.106826159452756,103.113224311667,2.34203333333333,88.968325389735,-0.00557108160415728,2486.58333333333,-0.0065170423311397,4.82857142857143
2005-10-01,0.472793796788604,339.836333333333,371.617333333333,0.0311978504225519,0.0637288383243265,0.0982951618199361,81.6333333333333,1.5,0.10943474660876,104.852211958197,2.25013333333333,90.169437378934,-0.000322988567611482,2524.73333333333,-0.0208372270173313,4.58571428571429
2006-01-01,0.381365444424335,343.566333333333,375.507666666667,0.0251822986553767,0.0592636394709567,0.0902073152649239,81.4666666666667,1.6,0.106825122623139,106.947416864732,2.19513333333333,91.3124238611342,0.00217654202798823,2561.00333333333,-0.0195676149774254,4.3
2006-04-01,0.121883630415246,342.938666666667,373.058333333333,0.00729710412449684,0.0482176251418526,0.082546111096012,81.6666666666667,0.3,0.105422835676475,117.606113454144,2.18443333333333,91.2773197368969,-0.000293188760100982,2577.14333333333,-0.0119438373591957,3.68571428571429
2006-07-01,0.23987300654592,347.023333333333,379.041666666667,0.00611714730365365,0.0434730371163605,0.0717448357304575,81.8333333333333,1.5,0.106604427363609,118.912376468547,2.1705,91.2446721726139,-0.00242073561855971,2581.94666666667,-0.01706635796281,3.44285714285714
