"ipca","pibhiato","desemprego","comm","cambio","pimpf","ipcaindice","salarios"
0.649335242975066,635.736166592265,0.110821316797438,53.9730665501868,2.3458,80.7323178162236,1839.61,807.1
0.801573713268404,601.91802145743,0.11343513623939,55.780683891944,2.3196,80.305899981778,1854.33,814.3
0.429240594435464,1727.73342144597,0.114320215508144,55.9384911848833,2.4796,78.9448694749722,1858.22,836.9
0.693908849049187,-342.718047300659,0.113280165207016,54.9353874723174,2.7132,79.6314673883779,1866.02,831.8
0.994654204575836,1285.71752275422,0.11338492926964,56.4325260312108,2.9338,80.1536542476912,1888.23,861.1
0.690069959559299,628.800087869662,0.109376245258445,56.6805808487113,3.1093,79.0505983517912,1900.5,851.9
0.878913421506998,-3458.12076060713,0.11188484867423,58.9262023415756,3.3412,80.9195550102419,1914.18,839.2
1.26481515258223,3207.95875355948,0.107833088345073,60.1042527078095,3.8051,82.2933815863388,1939.26,853.1
2.92359020520459,5006.32430653392,0.107928368787676,58.0255435951159,3.5756,82.1213695130316,1997.83,866.8
1.88725315493283,-1537.95950143431,0.113598399940968,61.3321418800279,3.6251,80.8771826891101,2039.78,875.1
2.00665560987381,-5610.7659834981,0.109258680160226,65.3393453883986,3.4376,80.1857226029123,2085.68,859.2
1.52560121726347,-2917.74792864025,0.107674133427684,70.3454820826314,3.59,81.6298885687365,2118.43,865.6
1.23895582603277,2501.17674745168,0.107637933491841,65.827640913317,3.4461,78.3757073992768,2144.49,863.4
0.9602745762933,3214.47500523683,0.109714361953032,61.8662124815534,3.1179,79.4564963758484,2165.29,871.2
0.795078816998715,-509.46260580275,0.112479187816101,63.0610432878967,2.9549,78.1142495806003,2178.5,862.6
0.146111284606246,-4122.63445792109,0.116594781291108,64.3593301568151,2.8824,78.007154617039,2175.23,865.9
0.107718787154951,1729.43884601988,0.115383182602927,63.2848797556019,2.879,78.042922553155,2179.58,856.8
0.417984823652853,-1440.4714600083,0.1166449215652,64.4368237581565,3.0017,78.7351308691983,2186.99,869
0.914084531863449,494.237735385861,0.116974342071873,64.4991290214764,2.922,82.370894187532,2204.05,856.4
0.273343253076739,5477.6907413025,0.117840399894053,67.4547028213942,2.8607,83.3330087054285,2210.44,856.1
0.275892564187435,3411.12719396531,0.114076985452011,67.3819146237766,2.913,84.1856970779539,2217.96,857.7
0.340223290758125,3161.9062288226,0.112965655140225,70.5063078649893,2.9245,82.7558968177335,2229.49,862.9
0.541978970024389,-6571.92093232335,0.111137408301751,73.1233565839023,2.851,83.6158402707876,2246.43,876.1
0.552114048505006,-9535.71772107153,0.10996094787895,72.8798439029803,2.9295,82.8120612567138,2260.13,882.2
0.467951210393998,2705.69512480477,0.11357454221953,75.5326717866659,2.9047,86.1552323370622,2270.75,897.2
0.352635444199627,-493.169403090316,0.116790124337173,76.4752780606294,2.9052,85.5568986413758,2279.15,892.5
0.641436636583577,-994.358482972893,0.109958212352449,79.7446991672955,3.0996,86.8337609041603,2290.77,884.9
0.966219475292097,1852.78867700972,0.109365276352628,78.3882366085363,3.1283,86.3510402660792,2307.03,900.1
0.852528713541477,5313.72459573584,0.106209044372461,79.7234853285602,3.036,87.2252364235174,2328.02,916.1
0.775159651292587,1227.6775500924,0.107986940328944,80.9604271813244,3.0021,87.9301809523607,2344.08,905.9
0.45470344151802,-4605.23244421312,0.105906907458702,80.5926412270702,2.8903,89.1921745650137,2351.82,925.2
0.421908931210096,185.471346166858,0.103986581568949,86.3939112683085,2.8521,88.7479975100567,2362.17,913.1
0.626558457114216,5946.70646790482,0.109685513744633,83.7253832062406,2.7852,88.9317488482203,2378.47,924.1
0.699182656791999,7376.37422414208,0.110545909343085,82.5679413494841,2.7174,90.1711250824739,2398.92,909.8
0.389726326478778,-7478.57839687544,0.108170757147642,85.426576137206,2.6922,90.0848370401357,2412.83,938.9
0.523129947278385,-10934.7042484742,0.109088940820527,87.4442907365214,2.597,87.5431873741931,2427.07,950.6
0.590852405114097,2203.18158704654,0.109945079958866,94.520957850601,2.7039,89.0837684190606,2441.87,955.7
0.833012312861853,1731.14047032033,0.108198494872864,94.0729819516697,2.5784,88.765055676845,2463.11,951.8
0.58577539858184,-386.347559085465,0.105491450484939,91.6042781847429,2.452,89.7502635731793,2475.18,946.5
0.230940180804763,486.707244688063,0.101561478819982,95.4697097981618,2.4127,91.1773286264357,2474.68,960.8
0.252054791016566,1293.43313423314,0.104248054043603,97.8478711178076,2.3727,88.9078861935736,2480.87,983
0.278247864933058,2376.81435417189,0.105267737744347,103.80457349774,2.3598,89.5133616469488,2485.09,989.4
0.464685730588848,-5048.82917176621,0.110962686570317,107.687228319452,2.2936,88.4837283286825,2493.79,988
0.712073696518072,1154.17488728414,0.110361509733155,107.178505587613,2.2557,88.6868155903813,2512.49,982.5
0.488087094412773,5869.18848761168,0.111412976097843,101.196128312772,2.21,89.6073097506265,2526.31,994.8
0.218220599434966,9387.70755690109,0.106529753995281,106.182001974206,2.2847,92.2141867957941,2535.4,1013.3
0.412075811082566,-3201.46075147766,0.105940576514217,107.905760485708,2.2731,91.3595904765469,2550.36,999.7
0.327603218367369,-10375.5163618582,0.108127411060019,106.110057822923,2.1611,91.6219868347273,2560.82,1018.3
0.404417303823071,175.99534178141,0.106407380295182,106.826432285565,2.1512,90.9556942721283,2571.83,1021
0.177390158946033,-7240.14246553145,0.105610915201033,115.698565260193,2.1285,91.1754916144701,2577.23,1024.9
0.171291716870864,2397.91749420372,0.103155823831124,119.892187500183,2.1773,92.3407026164634,2579.81,1041.4
