"date","ipca","igp.trim","ipa.trim","capacidade","pib","desemprego","comm","cambio","pimpf","tcambio","pimpf.hiato","desemprego.hiato","capacidade.hiato","lpimpf.hiato","lcapacidade.hiato","ipcaindice","cambioMA3.trim","cambioMA6.trim","pib.hiato"
2000-03-01,0.33497450771939,182.008333333333,180.796333333333,80.2352970811482,1.2,0.126455310297386,57.3674818027953,1.77286666666667,73.8925820788439,-0.0127368493766655,-0.208556980851024,0.000974331746118546,0.085822657486735,-0.00283489580023636,0.00106497082616652,1600.97,-0.0177443584898503,-0.0139707923484181,-0.0144890111376447
2000-06-01,0.355828492666432,183.828,182.095666666667,80.1033257360031,1.5,0.11755286545828,59.0604404265235,1.80066666666667,76.6509873942788,0.00303802215346583,0.207071486097959,-0.00130855071133254,-0.235641454400441,0.00284850220630754,-0.00293118732260419,1612.09333333333,0.00924339215394454,-0.00425048316795288,-0.00886655196922137
2000-09-01,0.948206752735142,191.251,191.837666666667,80.8626175819224,1.2,0.113155293255354,61.3930436532635,1.8146,78.1635911975447,0.0102806777979312,-0.0582907112770149,0.000525465387787879,0.00424252041590023,-0.000695427482153714,7.49315801632141e-05,1656.22,0.00568645404818698,0.00746492310106576,-0.000897012913280926
2000-12-01,0.308083924511303,196.558666666667,199.255666666667,81.5802314202424,1.1,0.10664486913058,63.7438305872956,1.9295,79.3990502216641,0.0180703379113577,0.0814199784085095,0.000203771839400665,0.133532424776902,0.00094034484253284,0.00163908937559309,1675.11,0.019818360535515,0.012752407291851,0.00844043647183579
2001-03-01,0.463255652368129,199.472333333333,202.427666666667,81.6282932338568,0.4,0.10192411708561,61.3207788091175,2.01433333333333,79.8201784164746,0.0286529771181337,0.0181390396228664,-0.00204788436555624,0.163783445368144,0.000213067478717003,0.00201476979682121,1700.41666666667,0.0227044837893095,0.0212614221624122,0.00235103577081031
2001-06-01,0.646500347977355,204.036,207.659666666667,80.7846848450824,-0.4,0.109527050262852,59.267957755541,2.2877,79.2545984258221,0.0373523008874166,0.0209407096925768,0.00218187011955557,0.0227053134067603,0.000299333375789246,0.000313183632397518,1724.90333333333,0.0426595642510122,0.0326820240201609,-0.00942918328615705
2001-09-01,0.707117539339213,211.182333333333,216.432333333333,79.9191581190879,-0.5,0.109946889674896,55.3562640871264,2.54863333333333,78.5403076645299,0.021931893039866,0.563091305431215,-0.00140537593872764,-0.0980091777999045,0.00732406153331352,-0.00121182795510322,1766.12333333333,0.034638269374928,0.0386489168129701,-0.0178414964469739
2001-12-01,0.657535937023675,217.203,224.015,79.4669021065209,-0.4,0.115539309456277,48.8216212933234,2.54786666666667,75.9322347787298,-0.0103006386933802,-1.37332541123543,0.000822241274864045,-0.412113631854377,-0.0177706554780362,-0.00515833289638904,1800.61,-0.0279934067733124,0.00332243130080781,-0.0274323287897219
2002-03-01,0.453635964200748,219.618666666667,225.487,80.8383375635939,2.4,0.115107126850786,50.6848518896554,2.38056666666667,79.4322275250774,-0.00412104437859099,0.903916201320456,-3.21959264722171e-05,0.392822514433282,0.0115973818498345,0.00490106406869728,1830.11,-0.00901377986401154,-0.018503593318662,-0.00906037427034789
2002-06-01,0.635292430803793,222.799,228.384333333333,80.7574704015784,0.5,0.113738175837697,55.5515208497149,2.50413333333333,79.5772081284395,0.0400807273971621,-0.150014012465216,0.000348888494014802,-0.13032214669875,-0.00182760045827646,-0.00161013615413867,1859.52333333333,0.0450257462738448,0.0180059832049166,-0.0144015253318421
2002-09-01,0.847063986068872,234.833666666667,245.515,81.0645786981368,1.2,0.111349757172078,57.3464364071659,3.1281,80.1174987662701,0.0615804632532852,-0.48091462012854,0.000289434938871541,-0.0106394198524432,-0.00597023777224888,-0.000134305611589151,1900.97,0.0771717109489792,0.061098728611412,-0.00683685207138252
2002-12-01,2.04387385908405,260.345,282.566333333333,81.299465966213,1,0.109580058417254,59.8206460609844,3.6686,81.81776670275,0.0250675592319462,0.797621239757106,5.85737041393688e-05,0.332332910810218,0.00984425463769275,0.00410523152200574,1992.29,0.0133020561439442,0.0452368835464617,-0.00552589695663386
2003-03-01,1.58604689803147,284.950333333333,314.431666666667,80.1,-0.4,0.108495422364185,67.1708227947823,3.49123333333333,80.0102729861333,-0.021170314210417,0.0312739010903679,-0.00132335606230109,-0.215814020428785,0.000406899307827224,-0.00265632565576812,2116.2,-0.016025929358376,-0.00136193660721588,-0.0168083715297126
2003-06-01,0.628754825200065,293.272,322.302666666667,79.6666666666667,-0.8,0.11297378423591,63.0955286420884,2.98506666666667,78.5019676326948,-0.0340265989137781,-0.470448392929252,0.000300570785088374,0.0147841042669417,-0.00589084483984929,0.000191641945249899,2173.00666666667,-0.0503359951331317,-0.0331809622457538,-0.0308704214773582
2003-09-01,0.474243584802889,291.321333333333,316.167,79.4,0.8,0.116199585364078,64.0736108450783,2.93423333333333,79.7850344859944,-0.0128723011768397,-0.400178416965517,0.000768743456023698,-0.0519785231389894,-0.00491722393694616,-0.000672142998858168,2190.20666666667,0.00255359520861252,-0.0238911999622596,-0.0289114121294824
2003-12-01,0.309328461897348,296.788,322.828333333333,79.7666666666667,1.1,0.114819044800369,68.4476417700534,2.8994,83.4527663900383,-0.000270907402361094,0.813574245787161,6.81914118856134e-06,-0.0384750062317494,0.0100134286709599,-0.000481283734239687,2219.29666666667,-0.00361518272093547,-0.000530793756161471,-0.0292098636111794
2004-03-01,0.518295735887273,303.274,330.842,80.6,1.5,0.111784312869873,73.8452907578495,2.89506666666667,84.1600053102774,0.00694275363160003,-0.299040608409873,-0.0010259404428672,-0.0263705604083289,-0.00361269270238918,-0.000303299622203805,2259.10333333333,0.00196525507679913,-0.000824963822068166,-0.0232937842626387
2004-06-01,0.649532202492488,313.992,345.483333333333,81.6,2.7,0.112062612603936,78.2027379454871,3.04436666666667,86.229288115029,0.00687686255618149,-0.0976431027381134,0.00156949579307047,-0.0510167629435803,-0.00108313707101241,-0.000594775932327115,2292.31666666667,0.0194043941059617,0.0106848245913804,-0.00749108448486546
2004-09-01,0.689802121033416,325.754333333333,360.93,82.6333333333333,1.2,0.10659070152985,80.4255179123183,2.97613333333333,88.1710275549334,-0.0106780295804463,0.140928984392062,-0.00125095132880258,0.221082998284042,0.0016001367727713,0.00267986069796322,2341.30666666667,-0.0192861938505625,5.91001276996196e-05,-0.00629949877289737
2004-12-01,0.591685029940946,332.821666666667,370.367333333333,82.5,0.9,0.107970321745608,84.2290786080111,2.7849,89.3027448634126,-0.0197761941178652,0.223868544924841,0.000171644707029762,-0.109098501628897,0.00250044121623164,-0.00133324744282337,2379.85333333333,-0.0215971092973738,-0.0204416515739682,-0.0097129390654177
2005-03-01,0.500265198130231,338.315333333333,376.092666666667,82.5,0.8,0.109251653545171,89.1306082414428,2.66436666666667,88.8799278971351,-0.0192919186955876,-0.35428898959933,0.00118315294990011,0.039368130186143,-0.00401156158383357,0.00047745425342575,2427.25666666667,-0.0131258631860175,-0.0173614862416957,-0.0100940340280229
2005-06-01,0.546826978590517,343.682666666667,380.977333333333,82.1,1.3,0.105083057074889,93.7156566448581,2.48103333333333,89.8841319359233,-0.0218735291230172,0.510337960980792,-0.00150263580118742,0.0381133519589696,0.00568289557068772,0.000470814873751853,2470.99,-0.0282824602014962,-0.0207041616937568,-0.0065170423311397
2005-09-01,0.327990819404408,339.507,372.147333333333,81.4666666666667,-0.9,0.106752944915957,103.113224311667,2.34203333333333,89.0201413643415,-0.017969151511156,-0.479703147738221,-0.000183230708080878,-0.165201052186381,-0.00532230533284513,-0.00202464073499501,2486.58333333333,-0.0155021295882127,-0.0218922948948545,-0.0208372270173313
2005-12-01,0.479427794878849,339.836333333333,371.617333333333,81.6333333333333,1.5,0.109356088634706,104.852211958197,2.25013333333333,90.1825905341942,-0.0109265604096026,-0.0326624515851203,0.00120962973809262,0.149574234601592,-0.000379903876820483,0.00183531797277118,2524.73333333333,-0.00686534138771077,-0.0111837354879618,-0.0195676149774254
2006-03-01,0.381374079288424,343.566333333333,375.507666666667,81.4666666666667,1.6,0.10696278567615,106.947416864732,2.19513333333333,91.2978238215437,-0.00715200537790108,0.1887349265713,-0.000366729439277324,-0.0285288645442705,0.00210857437334215,-0.000346641584167529,2561.00333333333,-0.0164790105850922,-0.0116721759864015,-0.0119438373591957
2006-06-01,0.119387493660842,342.938666666667,373.058333333333,81.6666666666667,0.3,0.105419119470563,117.606113454144,2.18443333333333,91.2659621475655,-0.00052361558936019,-0.0326059268922639,-0.0010213825540057,0.0288686174700577,-0.000398186635002832,0.000345372095756543,2577.14333333333,0.00878441761146172,-0.00384729648681525,-0.01706635796281
2006-09-01,0.23662069144251,347.023333333333,379.041666666667,81.8333333333333,1.5,0.106569226908405,118.912376468547,2.1705,91.2856016651274,-0.00157115063565795,-0.206288130082882,0.00153971414067303,-0.0163147338554429,-0.00225404222808686,-0.00019827683310029,2581.94666666667,-0.00724666488539906,0.000768876363031332,-0.0113980460062795
