"date","ipca","igp","ipa","alimbebs","capacidade","desemprego","comm","cambio","pimpf","pimpf.hiato","pimpf_saz","desemprego.hiato","capacidade.hiato","ipcaindice","lpimpf.hiato","lcapacidade.hiato","cambio.MSD.2","cambio.MSD.3","cambio.MSD.4","cambio.MSD.5","cambio.MSD.6","cambio.MSD.7","cambio.MSD.8","cambio.MSD.9","cambio.MSD.10","cambio.MSD.11","cambio.MSD.12"
1999-07-01,0.513216984977659,181.266,180.13,0.0013,80.0026970302981,0.125532668811767,55.5724212450119,1.8029,73.3358059409539,-0.70470838591946,65.3315261707989,-0.00215487901507436,-0.103696196384107,1532.47,-0.00955170550087114,-0.00129930673514611,0.00104293396554367,0.000825677137913837,0.0012114933346986,0.0009770321019905,0.00271912587291187,0.00234182972959324,0.0114563675190558,NA,NA,NA,NA
1999-08-01,0.197355024217028,182.259,181.173,0.0034,80.520062794523,0.128299519287735,58.042724064283,1.7745,76.1082057907366,1.54508974602606,69.2487052341598,0.00268931032757388,0.368106686883877,1541.05,0.0205848569340965,0.00458029314134301,0.000750439283364013,0.00116735578145075,0.000973307706751608,0.00125243455041187,0.00105022665386957,0.00253299352153373,0.0022261259400522,0.010340793285079,NA,NA,NA
1999-09-01,0.324634305411585,182.5,181.086,0.0177,80.1831314186234,0.126071519189987,58.487300099091,1.7412,74.3879617419093,-0.647160234931647,73.9876143250689,0.00269336244893556,-0.00694251803956547,1545.83,-0.00856187654492846,-8.60739276973277e-05,0.00091040222708351,0.000635161202543375,0.000976668096313589,0.000859567173581708,0.00111112963216024,0.000957994994874217,0.00226694496145478,0.00202373472903553,0.00934717446066134,NA,NA
1999-10-01,0.390910099798958,183.138,181.437,0.0135,80.3812170064971,0.118182410580731,56.4551399290546,1.7674,74.9761547507042,-0.540714039552725,70.9320550964187,-0.0028473510306584,0.141486473644235,1564.23,-0.00707700703113723,0.00176586838527193,0.00122159033495465,0.00128646002772474,0.000986014809159332,0.00118904960285231,0.00105606858281929,0.00124362191742409,0.00109306757414084,0.00224157059118283,0.00202521881903269,0.00868275638505642,NA
1999-11-01,0.22700443130581,183.474,181.568,0.0141,79.8129687800096,0.117213707580039,59.4040595903128,1.8271,75.5689381974715,-0.453290940117043,77.9526611570248,-0.00158306115654393,-0.506442484929366,1579.09,-0.00587673020246005,-0.00631574243249666,0.00124457903480538,0.000964587703504285,0.00107749063094444,0.000878928335448178,0.00106597174247752,0.000969570562502757,0.00114449198282152,0.00102168033708114,0.0020624717761249,0.00188207005735732,0.00799674188968534
1999-12-01,0.442733433853997,184.872,183.282,0.0084,80.1157914215026,0.116914151788919,61.3221217602032,1.8075,77.2880649015511,0.761810751469767,78.6866336088154,0.000207659113152042,-0.341968351916194,1588.56,0.00998944430491466,-0.00424368792058782,0.000349360256056755,0.000912432047040236,0.000785475295505703,0.000911620119057547,0.000773796624791808,0.000949138360910725,0.000879391501128656,0.0010448971037869,0.000944326110524022,0.00189753234843263,0.0017459090585367
2000-01-01,1.22418827219859,187.132,186.559,-0.0025,80.975730572117,0.115020722861235,59.8455702146376,1.797,77.3344908434343,0.363040709699263,80.1146887052342,0.000348133550474805,0.328671807796269,1598.41,0.00476140098885924,0.00408735036228247,0.000300147590141612,0.000350292540295593,0.000772363312473495,0.000698811658159218,0.000818376284010168,0.000713562408217731,0.000874515704393543,0.000820809901978057,0.000975623104285541,0.000890492564910318,0.00176875107846102
2000-02-01,1.06062518477387,191.855,192.286,-0.0046,80.8092019479377,0.114089968527055,60.7517604011792,1.8084,77.4059794650733,0.0509605194269653,83.7526391184573,0.00146634475014537,-0.0458367727198095,1600.49,0.000691720069535329,-0.000545344082897081,0.000289286072679929,0.000275570072289937,0.000319323164368343,0.000663173657296115,0.000620078887897113,0.000733810391521086,0.000652668986763838,0.000802504519081659,0.00076137041543891,0.000907513279949273,0.000835152770883341
2000-03-01,0.397571854228701,194.766,196.668,-0.0036,80.8029202257124,0.110153513659791,63.5818003439737,1.8384,77.0760443609825,-0.62418323216427,79.4126280991736,-0.000359642414127961,-0.270107473828759,1604.01,-0.00804501787966583,-0.00331721153889575,0.000683698738783172,0.000573184862113204,0.000491923164462393,0.000483655019690627,0.000742808454576722,0.000694493681194634,0.000784706897703419,0.000706926037232273,0.000836352311271468,0.000795880599578987,0.00092696904336848
2000-04-01,0.130648732408378,195.769,198.257,-0.0067,81.1413839820388,0.112900674181193,62.8624877810642,1.8788,78.0029133823069,-0.0310885019393226,83.7685950413223,0.00450064916333817,-0.14767884382907,1610.75,-0.000384281663728281,-0.00180374976012132,0.000628029584818863,0.000494158068741438,0.000458657828749397,0.00041655387730151,0.000422225304518518,0.000653132493731187,0.000622066562127551,0.000710303545587258,0.000647741106374843,0.000770781803761151,0.000739146943668903
2000-05-01,0.324705413051054,196.452,199.297,0.0011,81.7345985133856,0.107070992846693,63.9327297782617,1.9472,77.8897319728798,-0.448721314289216,80.2662699724518,0.000753744585499413,0.262810132951145,1610.91,-0.00573544252080005,0.0032273925606443,7.44113520530262e-05,0.000429935048361936,0.0003790550454181,0.000373675458089135,0.000352752560325938,0.000366728257508456,0.000575709178945798,0.000556697608052054,0.00064264778857334,0.000591923367199683,0.000709362151401729
