date,ipca,ipa,igp,capacidade,desemprego,comm,cambio,pimpf,ipcaindice,petro,gfc_dummy,pib,pib_hiato_real,pib_hiato_nom,pib_dessaz,pib_ipca,taxa_juros
2001-09-01,0.00427863044174912,0.011407114502089755,0.008624587387481952,80.1254397545393,0.11170675158975,54.0407974023588,2.6709,77.7823190834363,1773.52,25.03,0,47122,-0.0010075118917622916,-0.006202594253290172,46330.6677775947,381350.638532066,0.024329313278662085
2001-10-01,0.00833873794703852,0.015606949042182627,0.012622253458363986,79.6663680903099,0.115188260670577,50.3946720675826,2.7394,75.3428534326544,1788.24,20.73,0,48468,-0.0073014276861442795,-0.04032488645263044,44938.6538810587,380073.376374821,0.02518807872101564
2001-11-01,0.0066009355242894,0.0017536659432844104,0.004146351314942898,79.6363137441722,0.115701243830622,48.1728443833486,2.5423,76.5797906079001,1800.94,18.69,0,47790,-6.297010548887982e-4,-0.03391882287527359,45400.228620446,383749.692916516,0.025918141665896344
2001-12-01,0.00478724914298552,3.503644491322788e-4,0.002607277649645745,79.0980244850806,0.115728793250303,47.897347429039,2.3619,75.8443066442829,1812.65,18.52,0,44767,-0.029630318482144702,-0.027944671710859126,45856.3329760852,373889.795703454,0.026818706200820774
2002-01-01,0.00343567711212318,-5.189379187298115e-4,0.0013534669270551802,80.4577105795757,0.118036204240652,48.5321298829954,2.3771,78.4425534269846,1822.08,19.15,0,38931,-6.951929791849665e-4,-0.12103756878549099,41957.8062980213,386018.576787365,0.02771384892903067
2002-02-01,0.00376902266630779,6.120521233690113e-4,0.0018108693479126359,80.7757313139964,0.116189227121068,49.5493592357839,2.4188,79.1366377895276,1828.64,19.98,0,38954,0.02724205735922247,-0.1031678459596801,42906.0583774569,398150.965716985,0.027779937862999926
2002-03-01,0.00640530736253046,0.0025506151242113972,0.0035847536777193767,81.2815707972096,0.111096775345835,53.9730665501868,2.3458,80.6207034703691,1839.61,23.64,0,41824,0.028298307630102215,-0.12303914841190533,42261.1113038132,399780.785224206,0.026255648160890405
2002-04-01,0.00796059661125292,0.004773742062996078,0.006937779896783347,81.2330439418579,0.113597453346296,55.780683891944,2.3196,80.3028533031894,1854.33,25.43,0,42076,0.029981916846690382,-0.12948400432085627,42199.411997337,401677.885895748,0.023714912190401727
2002-05-01,0.00421171078885716,0.020221281252189804,0.013422180663456906,80.4706123788717,0.114423608507515,55.9384911848833,2.4796,78.9623580162541,1858.22,25.69,0,42426,0.027910939394962142,-0.13994379010831892,41980.257826071604,402080.822347304,0.024563767834403838
2002-06-01,0.00688540255311268,0.025412049981634155,0.018386257893538982,80.5687548840057,0.11319185800571,54.9353874723174,2.7132,79.6723896927665,1866.02,24.49,0,41359,0.028876616286805046,-0.14681680551352727,41924.0103772875,403718.189013327,0.02285457469051813
